year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0.0003606202668589975	1	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0.00023998080153587713	1	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0.00018148820326678765	1	5510
1967	0.000177367860943597	1	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0	0	5245
1975	0	0	4965
1976	0	0	5141
1977	0	0	5399
1978	0.00018086453246518358	1	5529
1979	0.00018942981625307822	1	5279
1980	0	0	5420
1981	0	0	5329
1982	0	0	5319
1983	0.0001892147587511826	1	5285
1984	0.00018782870022539445	1	5324
1985	0.00034995625546806647	2	5715
1986	0.0001928268414963363	1	5186
1987	0.00036569756811117204	2	5469
1988	0.00018158707100054475	1	5507
1989	0	0	5736
1990	0	0	5700
1991	0	0	5891
1992	0.00033456005352960856	2	5978
1993	0.0001678133915086424	1	5959
1994	0.0006634599436059048	4	6029
1995	0.000622568093385214	4	6425
1996	0.0010594823671863176	7	6607
1997	0.003704389701796629	20	5399
1998	0.006617038875103391	24	3627
1999	0.008488964346349746	60	7068
2000	0.007538910505836576	62	8224
2001	0.007921647702722166	55	6943
2002	0.010546500479386385	55	5215
2003	0.005140316754654071	37	7198
2004	0.008380724334031727	56	6682
2005	0.0063311688311688315	39	6160
2006	0.008357348703170028	29	3470
2007	0.011910433539780848	25	2099
2008	0.013115343154868847	146	11132
2009	0.002562574493444577	43	16780
2010	0.0005853277835587929	9	15376
2011	0.0006808278867102397	10	14688
2012	0.0006591167835100965	11	16689
2013	0.001198103870396416	23	19197
