year	portion	word_count	total_count
1945	0.010869565217391304	3	276
1946	0.009247027741083224	14	1514
1947	0.00906344410876133	15	1655
1948	0.00992063492063492	20	2016
1949	0.005595523581135092	14	2502
1950	0.005048683736025965	14	2773
1951	0.003907637655417406	11	2815
1952	0.0061770761839396015	18	2914
1953	0.004286185295087373	13	3033
1954	0.00368437212158428	12	3257
1955	0.004672897196261682	18	3852
1956	0.004691164972634871	18	3837
1957	0.005209690023443605	20	3839
1958	0.006151377373629313	23	3739
1959	0.008387942332896461	32	3815
1960	0.006887417218543046	26	3775
1961	0.004532064355313846	20	4413
1962	0.007679385649148068	32	4167
1963	0.007636919048658084	35	4583
1964	0.01001001001001001	50	4995
1965	0.004473438956197577	24	5365
1966	0.007985480943738656	44	5510
1967	0.005321035828307911	30	5638
1968	0.006018054162487462	36	5982
1969	0.0075940628236106315	44	5794
1970	0.006557928367243989	39	5947
1971	0.006988817891373802	35	5008
1972	0.005986086393787413	37	6181
1973	0.005067567567567568	30	5920
1974	0.006101048617731172	32	5245
1975	0.0052366565961732125	26	4965
1976	0.006418984633339817	33	5141
1977	0.005371365067605112	29	5399
1978	0.006330258636281425	35	5529
1979	0.009282060996400833	49	5279
1980	0.008487084870848708	46	5420
1981	0.010696190654907112	57	5329
1982	0.009024252679075015	48	5319
1983	0.010406811731315043	55	5285
1984	0.009767092411720512	52	5324
1985	0.009973753280839895	57	5715
1986	0.010798303123794832	56	5186
1987	0.01060522947522399	58	5469
1988	0.010895224260032685	60	5507
1989	0.012203626220362623	70	5736
1990	0.012456140350877193	71	5700
1991	0.010694279409268375	63	5891
1992	0.01371696219471395	82	5978
1993	0.012418190971639537	74	5959
1994	0.009786034168187095	59	6029
1995	0.007937743190661479	51	6425
1996	0.011502951415165732	76	6607
1997	0.00907575476940174	49	5399
1998	0.008822718500137855	32	3627
1999	0.008630447085455574	61	7068
2000	0.010092412451361868	83	8224
2001	0.010082097076191848	70	6943
2002	0.0074784276126558	39	5215
2003	0.008752431230897471	63	7198
2004	0.009877282250823106	66	6682
2005	0.011850649350649351	73	6160
2006	0.009221902017291067	32	3470
2007	0.015245354930919485	32	2099
2008	0.007186489399928135	80	11132
2009	0.008581644815256258	144	16780
2010	0.008519771071800209	131	15376
2011	0.01150599128540305	169	14688
2012	0.010785547366528852	180	16689
2013	0.009480648017919466	182	19197
