year	portion	word_count	total_count
1945	0	0	276
1946	0.0006605019815059445	1	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0.00026062027625749283	1	3837
1957	0.00026048450117218026	1	3839
1958	0.0002674511901577962	1	3739
1959	0	0	3815
1960	0.00026490066225165563	1	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0.0004004004004004004	2	4995
1965	0.0003727865796831314	2	5365
1966	0.00018148820326678765	1	5510
1967	0.000177367860943597	1	5638
1968	0.00016716817118020728	1	5982
1969	0.00017259233690024162	1	5794
1970	0.0013452160753321001	8	5947
1971	0.0005990415335463259	3	5008
1972	0.00016178611875101117	1	6181
1973	0.00016891891891891893	1	5920
1974	0	0	5245
1975	0.0006042296072507553	3	4965
1976	0.0007780587434351293	4	5141
1977	0.00018521948508983145	1	5399
1978	0.00036172906493036716	2	5529
1979	0	0	5279
1980	0.00018450184501845018	1	5420
1981	0	0	5329
1982	0.00018800526414739614	1	5319
1983	0.0003784295175023652	2	5285
1984	0	0	5324
1985	0.00034995625546806647	2	5715
1986	0	0	5186
1987	0.0010970927043335162	6	5469
1988	0.0016342836390049029	9	5507
1989	0.001394700139470014	8	5736
1990	0.0014035087719298245	8	5700
1991	0.0013580037345102699	8	5891
1992	0.0010036801605888257	6	5978
1993	0.0011746937405604967	7	5959
1994	0.0013269198872118096	8	6029
1995	0.0010894941634241246	7	6425
1996	0.0006054184955350386	4	6607
1997	0.0005556584552694943	3	5399
1998	0.00027570995312930797	1	3627
1999	0.0008488964346349745	6	7068
2000	0.00024319066147859923	2	8224
2001	0.0010082097076191847	7	6943
2002	0.0003835091083413231	2	5215
2003	0.0001389274798555154	1	7198
2004	0.00074827895839569	5	6682
2005	0.000487012987012987	3	6160
2006	0.0005763688760806917	2	3470
2007	0.0009528346831824678	2	2099
2008	0.00026949335249730504	3	11132
2009	0.0005959475566150178	10	16780
2010	0.0003902185223725286	6	15376
2011	0.0002723311546840959	4	14688
2012	0.00029959853795913474	5	16689
2013	0.0001562744178777934	3	19197
