year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0.000496031746031746	1	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0.0006594131223211342	2	3033
1954	0.00030703101013202335	1	3257
1955	0.00025960539979231567	1	3852
1956	0.00026062027625749283	1	3837
1957	0.00026048450117218026	1	3839
1958	0.0002674511901577962	1	3739
1959	0.0007863695937090433	3	3815
1960	0.00026490066225165563	1	3775
1961	0	0	4413
1962	0.0007199424046076314	3	4167
1963	0.0010909884355225835	5	4583
1964	0.0012012012012012011	6	4995
1965	0.0005591798695246971	3	5365
1966	0.00018148820326678765	1	5510
1967	0.000354735721887194	2	5638
1968	0.00016716817118020728	1	5982
1969	0.0017259233690024164	10	5794
1970	0.0008407600470825626	5	5947
1971	0.0007987220447284345	4	5008
1972	0.0011325028312570782	7	6181
1973	0.0008445945945945946	5	5920
1974	0.001525262154432793	8	5245
1975	0.0008056394763343404	4	4965
1976	0.0013616028010114763	7	5141
1977	0.0012965363956288201	7	5399
1978	0.0016277807921866521	9	5529
1979	0.0015154385300246258	8	5279
1980	0.0009225092250922509	5	5420
1981	0.0030024394820791895	16	5329
1982	0.001504042113179169	8	5319
1983	0.002838221381267739	15	5285
1984	0.0031930879038317055	17	5324
1985	0.003674540682414698	21	5715
1986	0.004049363671423062	21	5186
1987	0.004936917169500823	27	5469
1988	0.0032685672780098057	18	5507
1989	0.0029637377963737796	17	5736
1990	0.0036842105263157894	21	5700
1991	0.003225258869461891	19	5891
1992	0.006523921043827367	39	5978
1993	0.0055378419197851985	33	5959
1994	0.0053076795488472385	32	6029
1995	0.004046692607003891	26	6425
1996	0.004843347964280309	32	6607
1997	0.004074828671976292	22	5399
1998	0.005238489109456851	19	3627
1999	0.009054895302773062	64	7068
2000	0.009727626459143969	80	8224
2001	0.0095059772432666	66	6943
2002	0.010930009587727708	57	5215
2003	0.009169213670464018	66	7198
2004	0.009877282250823106	66	6682
2005	0.009902597402597402	61	6160
2006	0.009221902017291067	32	3470
2007	0.012863268222963315	27	2099
2008	0.006288178224937119	70	11132
2009	0.006912991656734207	116	16780
2010	0.008064516129032258	124	15376
2011	0.00857843137254902	126	14688
2012	0.008089160524896638	135	16689
2013	0.00922019065478981	177	19197
