year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0.00016815200941651252	1	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0	0	5245
1975	0	0	4965
1976	0	0	5141
1977	0	0	5399
1978	0	0	5529
1979	0	0	5279
1980	0	0	5420
1981	0.00018765246762994934	1	5329
1982	0	0	5319
1983	0.0003784295175023652	2	5285
1984	0.0007513148009015778	4	5324
1985	0.00017497812773403323	1	5715
1986	0.0001928268414963363	1	5186
1987	0.00018284878405558602	1	5469
1988	0.0005447612130016343	3	5507
1989	0.00017433751743375174	1	5736
1990	0	0	5700
1991	0.00033950093362756747	2	5891
1992	0.0008364001338240214	5	5978
1993	0.0005034401745259272	3	5959
1994	0.004644219605241333	28	6029
1995	0.01556420233463035	100	6425
1996	0.013319206901770849	88	6607
1997	0.015928875717725506	86	5399
1998	0.007995588640749932	29	3627
1999	0.019383135257498584	137	7068
2000	0.03708657587548638	305	8224
2001	0.02923808152095636	203	6943
2002	0.028187919463087248	147	5215
2003	0.035565434843011945	256	7198
2004	0.02304699191858725	154	6682
2005	0.03149350649350649	194	6160
2006	0.07694524495677234	267	3470
2007	0.06526917579799904	137	2099
2008	0.08444125044915558	940	11132
2009	0.0967818831942789	1624	16780
2010	0.10887096774193548	1674	15376
2011	0.10089869281045752	1482	14688
2012	0.09629097010006592	1607	16689
2013	0.10407876230661041	1998	19197
