year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0.00026048450117218026	1	3839
1958	0.0002674511901577962	1	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0.0002181976871045167	1	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0.000354735721887194	2	5638
1968	0	0	5982
1969	0	0	5794
1970	0.0008407600470825626	5	5947
1971	0.0011980830670926517	6	5008
1972	0	0	6181
1973	0.00033783783783783786	2	5920
1974	0.00019065776930409913	1	5245
1975	0.0002014098690835851	1	4965
1976	0	0	5141
1977	0.0003704389701796629	2	5399
1978	0.00018086453246518358	1	5529
1979	0.00037885963250615644	2	5279
1980	0.0005535055350553505	3	5420
1981	0.000562957402889848	3	5329
1982	0.001504042113179169	8	5319
1983	0.0003784295175023652	2	5285
1984	0.0007513148009015778	4	5324
1985	0.00034995625546806647	2	5715
1986	0.0007713073659853452	4	5186
1987	0.0009142439202779302	5	5469
1988	0.0012711094970038134	7	5507
1989	0.0008716875871687587	5	5736
1990	0.0022807017543859647	13	5700
1991	0.0008487523340689187	5	5891
1992	0.0025092004014720644	15	5978
1993	0.0016781339150864238	10	5959
1994	0.000829324929507381	5	6029
1995	0.0028015564202334632	18	6425
1996	0.0013621916149538368	9	6607
1997	0.0012965363956288201	7	5399
1998	0.0013785497656465398	5	3627
1999	0.0018392756083757782	13	7068
2000	0.0010943579766536965	9	8224
2001	0.0018723894570070575	13	6943
2002	0.0013422818791946308	7	5215
2003	0.0030564045568213394	22	7198
2004	0.001197246333433104	8	6682
2005	0.000974025974025974	6	6160
2006	0.0025936599423631124	9	3470
2007	0.0019056693663649356	4	2099
2008	0.0010779734099892202	12	11132
2009	0.000834326579261025	14	16780
2010	0.0012356919875130073	19	15376
2011	0.0011574074074074073	17	14688
2012	0.001318233567020193	22	16689
2013	0.001198103870396416	23	19197
