year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0.0005349023803155924	2	3739
1959	0	0	3815
1960	0.00026490066225165563	1	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0.0001863932898415657	1	5365
1966	0	0	5510
1967	0.000354735721887194	2	5638
1968	0.0005015045135406219	3	5982
1969	0.0006903693476009665	4	5794
1970	0.00016815200941651252	1	5947
1971	0.00019968051118210862	1	5008
1972	0	0	6181
1973	0.00016891891891891893	1	5920
1974	0.00019065776930409913	1	5245
1975	0.0002014098690835851	1	4965
1976	0	0	5141
1977	0.0005556584552694943	3	5399
1978	0.00036172906493036716	2	5529
1979	0.0005682894487592347	3	5279
1980	0.00036900369003690036	2	5420
1981	0	0	5329
1982	0.0009400263207369807	5	5319
1983	0.0003784295175023652	2	5285
1984	0.001314800901577761	7	5324
1985	0.00017497812773403323	1	5715
1986	0.0001928268414963363	1	5186
1987	0.0009142439202779302	5	5469
1988	0.0003631741420010895	2	5507
1989	0.0003486750348675035	2	5736
1990	0.0003508771929824561	2	5700
1991	0.0006790018672551349	4	5891
1992	0.0015055202408832385	9	5978
1993	0.0013425071320691392	8	5959
1994	0.0009951899154088573	6	6029
1995	0.0004669260700389105	3	6425
1996	0.0010594823671863176	7	6607
1997	0.0011113169105389886	6	5399
1998	0.0016542597187758478	6	3627
1999	0.0011318619128466328	8	7068
2000	0.0014591439688715954	12	8224
2001	0.001296269624081809	9	6943
2002	0.0003835091083413231	2	5215
2003	0.0012503473186996387	9	7198
2004	0.00074827895839569	5	6682
2005	0.0011363636363636363	7	6160
2006	0.001729106628242075	6	3470
2007	0.0004764173415912339	1	2099
2008	0.0009881422924901185	11	11132
2009	0.000834326579261025	14	16780
2010	0.001040582726326743	16	15376
2011	0.0015659041394335512	23	14688
2012	0.0010785547366528852	18	16689
2013	0.0007292806167630359	14	19197
