year	portion	word_count	total_count
1945	0	0	276
1946	0.0019815059445178335	3	1514
1947	0.0012084592145015106	2	1655
1948	0.001488095238095238	3	2016
1949	0.004396482813749001	11	2502
1950	0.006130544536602957	17	2773
1951	0.004618117229129663	13	2815
1952	0.007206588881262869	21	2914
1953	0.005275304978569074	16	3033
1954	0.00184218606079214	6	3257
1955	0.00778816199376947	30	3852
1956	0.005733646077664843	22	3837
1957	0.005209690023443605	20	3839
1958	0.0034768654720513507	13	3739
1959	0.004456094364351245	17	3815
1960	0.003708609271523179	14	3775
1961	0.004078857919782461	18	4413
1962	0.0064794816414686825	27	4167
1963	0.005236744490508401	24	4583
1964	0.006206206206206206	31	4995
1965	0.00391425908667288	21	5365
1966	0.003811252268602541	21	5510
1967	0.005675771550195104	32	5638
1968	0.004012036108324975	24	5982
1969	0.0025888850535036242	15	5794
1970	0.004203800235412813	25	5947
1971	0.0033945686900958465	17	5008
1972	0.0037210807312732567	23	6181
1973	0.0028716216216216218	17	5920
1974	0.0034318398474737846	18	5245
1975	0.0030211480362537764	15	4965
1976	0.0036957790313168646	19	5141
1977	0.0035191702167067978	19	5399
1978	0.0036172906493036716	20	5529
1979	0.005872324303845425	31	5279
1980	0.004797047970479705	26	5420
1981	0.003940701820228936	21	5329
1982	0.00827223162248543	44	5319
1983	0.006811731315042573	36	5285
1984	0.007888805409466567	42	5324
1985	0.006299212598425197	36	5715
1986	0.006170458927882761	32	5186
1987	0.008228195282501372	45	5469
1988	0.005447612130016342	30	5507
1989	0.006276150627615063	36	5736
1990	0.0043859649122807015	25	5700
1991	0.005601765404854863	33	5891
1992	0.00702576112412178	42	5978
1993	0.006041282094311126	36	5959
1994	0.005639409520650191	34	6029
1995	0.006381322957198444	41	6425
1996	0.004843347964280309	32	6607
1997	0.006853120948323764	37	5399
1998	0.0038599393438103115	14	3627
1999	0.005234861346915676	37	7068
2000	0.006687743190661478	55	8224
2001	0.006625378078640358	46	6943
2002	0.006519654841802493	34	5215
2003	0.00847457627118644	61	7198
2004	0.006884166417240347	46	6682
2005	0.008116883116883116	50	6160
2006	0.006628242074927954	23	3470
2007	0.006193425440686041	13	2099
2008	0.004671218109953288	52	11132
2009	0.0063766388557806915	107	16780
2010	0.007414151925078044	114	15376
2011	0.006672113289760349	98	14688
2012	0.00922763496914135	154	16689
2013	0.007136531749752565	137	19197
