year	portion	word_count	total_count
1945	0	0	276
1946	0.001321003963011889	2	1514
1947	0	0	1655
1948	0.000496031746031746	1	2016
1949	0	0	2502
1950	0.0010818608005769925	3	2773
1951	0.0007104795737122557	2	2815
1952	0	0	2914
1953	0.0006594131223211342	2	3033
1954	0	0	3257
1955	0.0005192107995846313	2	3852
1956	0	0	3837
1957	0.0007814535035165407	3	3839
1958	0.0002674511901577962	1	3739
1959	0.0005242463958060288	2	3815
1960	0	0	3775
1961	0.00045320643553138455	2	4413
1962	0.00023998080153587713	1	4167
1963	0.0004363953742090334	2	4583
1964	0.0004004004004004004	2	4995
1965	0.0005591798695246971	3	5365
1966	0.0007259528130671506	4	5510
1967	0.001064207165661582	6	5638
1968	0.0005015045135406219	3	5982
1969	0.0005177770107007249	3	5794
1970	0.0006726080376660501	4	5947
1971	0.00039936102236421724	2	5008
1972	0.00016178611875101117	1	6181
1973	0.00033783783783783786	2	5920
1974	0.0005719733079122975	3	5245
1975	0.0004028197381671702	2	4965
1976	0.00038902937171756465	2	5141
1977	0.00018521948508983145	1	5399
1978	0.0005425935973955507	3	5529
1979	0.0007577192650123129	4	5279
1980	0.00036900369003690036	2	5420
1981	0.0009382623381497466	5	5329
1982	0.00037601052829479227	2	5319
1983	0.0001892147587511826	1	5285
1984	0.0005634861006761833	3	5324
1985	0.00034995625546806647	2	5715
1986	0.0003856536829926726	2	5186
1987	0.0009142439202779302	5	5469
1988	0	0	5507
1989	0.00017433751743375174	1	5736
1990	0.0005263157894736842	3	5700
1991	0.0006790018672551349	4	5891
1992	0.0006691201070592171	4	5978
1993	0.0003356267830172848	2	5959
1994	0.0001658649859014762	1	6029
1995	0.0007782101167315176	5	6425
1996	0.0004540638716512789	3	6607
1997	0.0005556584552694943	3	5399
1998	0.00027570995312930797	1	3627
1999	0.0002829654782116582	2	7068
2000	0.00012159533073929961	1	8224
2001	0.00014402995823131211	1	6943
2002	0.0003835091083413231	2	5215
2003	0.0001389274798555154	1	7198
2004	0.000299311583358276	2	6682
2005	0.00016233766233766234	1	6160
2006	0	0	3470
2007	0.0009528346831824678	2	2099
2008	0.00035932446999640676	4	11132
2009	0	0	16780
2010	0.0001951092611862643	3	15376
2011	0.0002723311546840959	4	14688
2012	0.00017975912277548085	3	16689
2013	0.0002604573631296557	5	19197
