year	portion	word_count	total_count
1945	0.0036231884057971015	1	276
1946	0.001321003963011889	2	1514
1947	0.0006042296072507553	1	1655
1948	0.001984126984126984	4	2016
1949	0.001199040767386091	3	2502
1950	0.0018031013342949874	5	2773
1951	0.0014209591474245115	4	2815
1952	0.0013726835964310226	4	2914
1953	0.0006594131223211342	2	3033
1954	0	0	3257
1955	0.0010384215991692627	4	3852
1956	0	0	3837
1957	0.0015629070070330815	6	3839
1958	0.0018721583311045735	7	3739
1959	0	0	3815
1960	0.0018543046357615894	7	3775
1961	0.0013596193065941536	6	4413
1962	0.001919846412287017	8	4167
1963	0.0030547676194632336	14	4583
1964	0.0014014014014014013	7	4995
1965	0.002423112767940354	13	5365
1966	0.003629764065335753	20	5510
1967	0.0026605179141539555	15	5638
1968	0.0028418589100635237	17	5982
1969	0.003624439074905074	21	5794
1970	0.005549016310744914	33	5947
1971	0.004792332268370607	24	5008
1972	0.004853583562530335	30	6181
1973	0.0035472972972972975	21	5920
1974	0.0036224976167778837	19	5245
1975	0.0032225579053373615	16	4965
1976	0.003890293717175647	20	5141
1977	0.004074828671976292	22	5399
1978	0.004702477844094773	26	5529
1979	0.003788596325061565	20	5279
1980	0.0051660516605166054	28	5420
1981	0.008632013510977669	46	5329
1982	0.003196089490505734	17	5319
1983	0.004162724692526017	22	5285
1984	0.009015777610818933	48	5324
1985	0.006649168853893263	38	5715
1986	0.0063632857693790975	33	5186
1987	0.007679648930334613	42	5469
1988	0.006718721627020156	37	5507
1989	0.006624825662482566	38	5736
1990	0.008771929824561403	50	5700
1991	0.010354778475640808	61	5891
1992	0.01371696219471395	82	5978
1993	0.01342507132069139	80	5959
1994	0.010615359097694477	64	6029
1995	0.008715953307392997	56	6425
1996	0.005902830331466626	39	6607
1997	0.009816632709761066	53	5399
1998	0.007444168734491315	27	3627
1999	0.006508205998868138	46	7068
2000	0.01228112840466926	101	8224
2001	0.01094627682557972	76	6943
2002	0.010930009587727708	57	5215
2003	0.010141706029452626	73	7198
2004	0.008530380125710864	57	6682
2005	0.007792207792207792	48	6160
2006	0.007204610951008645	25	3470
2007	0.011434016198189614	24	2099
2008	0.004581386992454186	51	11132
2009	0.0066746126340882	112	16780
2010	0.007609261186264308	117	15376
2011	0.010212418300653595	150	14688
2012	0.009587153214692312	160	16689
2013	0.01015783716205657	195	19197
