year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0.0002002002002002002	1	4995
1965	0	0	5365
1966	0	0	5510
1967	0.000177367860943597	1	5638
1968	0	0	5982
1969	0.00017259233690024162	1	5794
1970	0	0	5947
1971	0.00039936102236421724	2	5008
1972	0	0	6181
1973	0	0	5920
1974	0.00038131553860819826	2	5245
1975	0	0	4965
1976	0	0	5141
1977	0.00018521948508983145	1	5399
1978	0	0	5529
1979	0	0	5279
1980	0	0	5420
1981	0.00018765246762994934	1	5329
1982	0.00037601052829479227	2	5319
1983	0.0001892147587511826	1	5285
1984	0.00018782870022539445	1	5324
1985	0.00017497812773403323	1	5715
1986	0	0	5186
1987	0.00018284878405558602	1	5469
1988	0.0003631741420010895	2	5507
1989	0.000697350069735007	4	5736
1990	0.00017543859649122806	1	5700
1991	0	0	5891
1992	0.00016728002676480428	1	5978
1993	0.0008390669575432119	5	5959
1994	0.0004975949577044286	3	6029
1995	0	0	6425
1996	0.0010594823671863176	7	6607
1997	0.0003704389701796629	2	5399
1998	0.00027570995312930797	1	3627
1999	0.00155631013016412	11	7068
2000	0.0008511673151750973	7	8224
2001	0.001440299582313121	10	6943
2002	0.0013422818791946308	7	5215
2003	0.0012503473186996387	9	7198
2004	0.0010475905417539658	7	6682
2005	0.0006493506493506494	4	6160
2006	0.0011527377521613833	4	3470
2007	0.0014292520247737017	3	2099
2008	0.00026949335249730504	3	11132
2009	0.0010131108462455305	17	16780
2010	0.0011706555671175858	18	15376
2011	0.0014978213507625272	22	14688
2012	0.0010785547366528852	18	16689
2013	0.00046882325363338024	9	19197
