year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0.00016815200941651252	1	5947
1971	0	0	5008
1972	0.00032357223750202233	2	6181
1973	0.00016891891891891893	1	5920
1974	0.00038131553860819826	2	5245
1975	0.0002014098690835851	1	4965
1976	0.00038902937171756465	2	5141
1977	0.0005556584552694943	3	5399
1978	0.00018086453246518358	1	5529
1979	0	0	5279
1980	0.00036900369003690036	2	5420
1981	0	0	5329
1982	0.00037601052829479227	2	5319
1983	0.0011352885525070956	6	5285
1984	0.0016904583020285499	9	5324
1985	0.0017497812773403325	10	5715
1986	0.0003856536829926726	2	5186
1987	0.0025598829767782046	14	5469
1988	0.0019974577810059923	11	5507
1989	0.0020920502092050207	12	5736
1990	0.0017543859649122807	10	5700
1991	0.002376506535392972	14	5891
1992	0.005520240883238541	33	5978
1993	0.002517200872629636	15	5959
1994	0.004975949577044286	30	6029
1995	0.0031128404669260703	20	6425
1996	0.002270319358256395	15	6607
1997	0.0038896091868864603	21	5399
1998	0.0035842293906810036	13	3627
1999	0.00466893039049236	33	7068
2000	0.001580739299610895	13	8224
2001	0.003312689039320179	23	6943
2002	0.003835091083413231	20	5215
2003	0.0033342595165323703	24	7198
2004	0.00299311583358276	20	6682
2005	0.00275974025974026	17	6160
2006	0.0023054755043227667	8	3470
2007	0.0009528346831824678	2	2099
2008	0.0009881422924901185	11	11132
2009	0.002502979737783075	42	16780
2010	0.0018860561914672217	29	15376
2011	0.0017020697167755992	25	14688
2012	0.001258313859428366	21	16689
2013	0.002239933322915039	43	19197
