year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0.0006042296072507553	1	1655
1948	0.000496031746031746	1	2016
1949	0.0007993605115907274	2	2502
1950	0.000721240533717995	2	2773
1951	0.0007104795737122557	2	2815
1952	0.0013726835964310226	4	2914
1953	0.0003297065611605671	1	3033
1954	0.00030703101013202335	1	3257
1955	0.00025960539979231567	1	3852
1956	0.0005212405525149857	2	3837
1957	0.002083876009377442	8	3839
1958	0.0002674511901577962	1	3739
1959	0.0002621231979030144	1	3815
1960	0.0007947019867549669	3	3775
1961	0.00022660321776569228	1	4413
1962	0.0007199424046076314	3	4167
1963	0.0017455814968361336	8	4583
1964	0.0012012012012012011	6	4995
1965	0.0005591798695246971	3	5365
1966	0.0007259528130671506	4	5510
1967	0.000709471443774388	4	5638
1968	0.0005015045135406219	3	5982
1969	0.0005177770107007249	3	5794
1970	0.0005044560282495376	3	5947
1971	0.0011980830670926517	6	5008
1972	0.0004853583562530335	3	6181
1973	0.0005067567567567568	3	5920
1974	0.0009532888465204957	5	5245
1975	0.0014098690835850957	7	4965
1976	0.0009725734292939117	5	5141
1977	0.0009260974254491572	5	5399
1978	0.0009043226623259179	5	5529
1979	0.0005682894487592347	3	5279
1980	0.0012915129151291514	7	5420
1981	0.000562957402889848	3	5329
1982	0.00037601052829479227	2	5319
1983	0.000946073793755913	5	5285
1984	0.0005634861006761833	3	5324
1985	0.0008748906386701663	5	5715
1986	0	0	5186
1987	0.0009142439202779302	5	5469
1988	0.0009079353550027238	5	5507
1989	0.0005230125523012552	3	5736
1990	0.0003508771929824561	2	5700
1991	0.0005092514004413513	3	5891
1992	0.0005018400802944129	3	5978
1993	0.0005034401745259272	3	5959
1994	0.0004975949577044286	3	6029
1995	0.0004669260700389105	3	6425
1996	0.0003027092477675193	2	6607
1997	0.0009260974254491572	5	5399
1998	0.0008271298593879239	3	3627
1999	0	0	7068
2000	0.00024319066147859923	2	8224
2001	0.00014402995823131211	1	6943
2002	0.0003835091083413231	2	5215
2003	0.0005557099194220616	4	7198
2004	0.000149655791679138	1	6682
2005	0	0	6160
2006	0	0	3470
2007	0	0	2099
2008	0.00026949335249730504	3	11132
2009	0.0005363528009535161	9	16780
2010	0.0001951092611862643	3	15376
2011	0.00047657952069716776	7	14688
2012	0.0005392773683264426	9	16689
2013	0.0003125488357555868	6	19197
