year	portion	word_count	total_count
1945	0.010869565217391304	3	276
1946	0.008586525759577279	13	1514
1947	0.00785498489425982	13	1655
1948	0.005456349206349206	11	2016
1949	0.005595523581135092	14	2502
1950	0.00721240533717995	20	2773
1951	0.007104795737122558	20	2815
1952	0.007206588881262869	21	2914
1953	0.008572370590174745	26	3033
1954	0.005833589192508443	19	3257
1955	0.00960539979231568	37	3852
1956	0.007557988011467292	29	3837
1957	0.00963792654337067	37	3839
1958	0.008290986894891682	31	3739
1959	0.010484927916120577	40	3815
1960	0.011390728476821193	43	3775
1961	0.010423748017221844	46	4413
1962	0.01079913606911447	45	4167
1963	0.00850970979707615	39	4583
1964	0.012012012012012012	60	4995
1965	0.012301957129543337	66	5365
1966	0.013611615245009074	75	5510
1967	0.012061014544164597	68	5638
1968	0.010865931126713474	65	5982
1969	0.01691404901622368	98	5794
1970	0.010257272574407264	61	5947
1971	0.011381789137380192	57	5008
1972	0.013751820093835949	85	6181
1973	0.012331081081081082	73	5920
1974	0.012583412774070544	66	5245
1975	0.013293051359516616	66	4965
1976	0.0165337482979965	85	5141
1977	0.012039266530839044	65	5399
1978	0.018448182311448725	102	5529
1979	0.019700700890320135	104	5279
1980	0.020110701107011072	109	5420
1981	0.015199849878025896	81	5329
1982	0.01804850535815003	96	5319
1983	0.016272469252601705	86	5285
1984	0.024417731029301278	130	5324
1985	0.01994750656167979	114	5715
1986	0.021403779406093327	111	5186
1987	0.02541598098372646	139	5469
1988	0.023424732159070275	129	5507
1989	0.022489539748953975	129	5736
1990	0.02368421052631579	135	5700
1991	0.028348327957901886	167	5891
1992	0.024088323854131816	144	5978
1993	0.02450075516026179	146	5959
1994	0.02139658318129043	129	6029
1995	0.021011673151750974	135	6425
1996	0.020735583472075072	137	6607
1997	0.02167067975551028	117	5399
1998	0.016542597187758478	60	3627
1999	0.016694963214487834	118	7068
2000	0.016050583657587547	132	8224
2001	0.017427624945988766	121	6943
2002	0.01821668264621285	95	5215
2003	0.013753820505696027	99	7198
2004	0.01646213708470518	110	6682
2005	0.01672077922077922	103	6160
2006	0.015561959654178675	54	3470
2007	0.017627441638875654	37	2099
2008	0.010779734099892203	120	11132
2009	0.015196662693682956	255	16780
2010	0.016974505723204993	261	15376
2011	0.01715686274509804	252	14688
2012	0.01611840134220145	269	16689
2013	0.020263582851487213	389	19197
