year	portion	word_count	total_count
1945	0.007246376811594203	2	276
1946	0.009247027741083224	14	1514
1947	0.01027190332326284	17	1655
1948	0.00744047619047619	15	2016
1949	0.011590727418065548	29	2502
1950	0.010457987738910927	29	2773
1951	0.02344582593250444	66	2815
1952	0.021619766643788608	63	2914
1953	0.0230794592812397	70	3033
1954	0.022720294749769727	74	3257
1955	0.023883696780893044	92	3852
1956	0.02475892624446182	95	3837
1957	0.02005730659025788	77	3839
1958	0.02032629045199251	76	3739
1959	0.023328964613368284	89	3815
1960	0.023311258278145695	88	3775
1961	0.024699750736460458	109	4413
1962	0.02663786897048236	111	4167
1963	0.02574732707833297	118	4583
1964	0.024624624624624624	123	4995
1965	0.022367194780987885	120	5365
1966	0.02323049001814882	128	5510
1967	0.020042568286626462	113	5638
1968	0.025075225677031094	150	5982
1969	0.03279254401104591	190	5794
1970	0.033630401883302505	200	5947
1971	0.03574281150159744	179	5008
1972	0.0376961656689856	233	6181
1973	0.04155405405405405	246	5920
1974	0.03927550047664442	206	5245
1975	0.051560926485397784	256	4965
1976	0.05193542112429488	267	5141
1977	0.05704760140766809	308	5399
1978	0.049918610960390665	276	5529
1979	0.050009471490812654	264	5279
1980	0.0470479704797048	255	5420
1981	0.05010320885719647	267	5329
1982	0.05470953186689227	291	5319
1983	0.060927152317880796	322	5285
1984	0.05371900826446281	286	5324
1985	0.06351706036745407	363	5715
1986	0.060933281912842266	316	5186
1987	0.06948253794112269	380	5469
1988	0.0637370619211912	351	5507
1989	0.061366806136680614	352	5736
1990	0.05982456140350877	341	5700
1991	0.06688168392463079	394	5891
1992	0.06774841083974574	405	5978
1993	0.0629300218157409	375	5959
1994	0.0689998341350141	416	6029
1995	0.06817120622568093	438	6425
1996	0.06523384289390041	431	6607
1997	0.06908686793850713	373	5399
1998	0.05845051006341329	212	3627
1999	0.05602716468590832	396	7068
2000	0.07052529182879377	580	8224
2001	0.08224110615007922	571	6943
2002	0.06558005752636625	342	5215
2003	0.06223951097527091	448	7198
2004	0.05597126608799761	374	6682
2005	0.05487012987012987	338	6160
2006	0.0628242074927954	218	3470
2007	0.055264411624583135	116	2099
2008	0.04671218109953288	520	11132
2009	0.06692491060786651	1123	16780
2010	0.07433662851196671	1143	15376
2011	0.07284858387799564	1070	14688
2012	0.0738210797531308	1232	16689
2013	0.07037557951763296	1351	19197
