year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0.0012084592145015106	2	1655
1948	0.001488095238095238	3	2016
1949	0.0007993605115907274	2	2502
1950	0.0010818608005769925	3	2773
1951	0.0017761989342806395	5	2815
1952	0.002745367192862045	8	2914
1953	0.003297065611605671	10	3033
1954	0.0021492170709241634	7	3257
1955	0.0018172377985462098	7	3852
1956	0.0026062027625749283	10	3837
1957	0.0015629070070330815	6	3839
1958	0.002674511901577962	10	3739
1959	0.003931847968545216	15	3815
1960	0.004503311258278146	17	3775
1961	0.005211874008610922	23	4413
1962	0.004319654427645789	18	4167
1963	0.00458215142919485	21	4583
1964	0.005205205205205205	26	4995
1965	0.004846225535880708	26	5365
1966	0.0054446460980036296	30	5510
1967	0.006385242993969493	36	5638
1968	0.004680708793045804	28	5982
1969	0.009319986192613048	54	5794
1970	0.007230536404910039	43	5947
1971	0.007987220447284345	40	5008
1972	0.009383594887558647	58	6181
1973	0.008277027027027027	49	5920
1974	0.009914204003813156	52	5245
1975	0.009264853977844914	46	4965
1976	0.01167088115152694	60	5141
1977	0.008520096314132248	46	5399
1978	0.011756194610236933	65	5529
1979	0.013070657321462398	69	5279
1980	0.014206642066420664	77	5420
1981	0.013886282604616251	74	5329
1982	0.016356457980823462	87	5319
1983	0.01381267738883633	73	5285
1984	0.015589782118707738	83	5324
1985	0.017147856517935257	98	5715
1986	0.015618974161203239	81	5186
1987	0.024318888279392943	133	5469
1988	0.017977120029053932	99	5507
1989	0.020223152022315203	116	5736
1990	0.018245614035087718	104	5700
1991	0.017823799015447294	105	5891
1992	0.030277684844429574	181	5978
1993	0.029031716730995135	173	5959
1994	0.03516337701111295	212	6029
1995	0.0354863813229572	228	6425
1996	0.03693052822763736	244	6607
1997	0.03315428783107983	179	5399
1998	0.02564102564102564	93	3627
1999	0.02362761743067346	167	7068
2000	0.03392509727626459	279	8224
2001	0.04594555667578856	319	6943
2002	0.04314477468839885	225	5215
2003	0.022089469297026952	159	7198
2004	0.022747680335228972	152	6682
2005	0.022727272727272728	140	6160
2006	0.019596541786743516	68	3470
2007	0.022391615054787994	47	2099
2008	0.020481494789795184	228	11132
2009	0.031704410011918954	532	16780
2010	0.031152445369406867	479	15376
2011	0.03227124183006536	474	14688
2012	0.033075678590688475	552	16689
2013	0.03537010991300724	679	19197
