year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0.0002181976871045167	1	4583
1964	0.0002002002002002002	1	4995
1965	0	0	5365
1966	0	0	5510
1967	0.000532103582830791	3	5638
1968	0	0	5982
1969	0.00017259233690024162	1	5794
1970	0.0005044560282495376	3	5947
1971	0.00039936102236421724	2	5008
1972	0.00032357223750202233	2	6181
1973	0.00033783783783783786	2	5920
1974	0.00038131553860819826	2	5245
1975	0.0006042296072507553	3	4965
1976	0.0013616028010114763	7	5141
1977	0.0005556584552694943	3	5399
1978	0.0007234581298607343	4	5529
1979	0.0015154385300246258	8	5279
1980	0.0018450184501845018	10	5420
1981	0.00018765246762994934	1	5329
1982	0.0009400263207369807	5	5319
1983	0.0015137180700094607	8	5285
1984	0.0009391435011269722	5	5324
1985	0.002099737532808399	12	5715
1986	0.0009641342074816814	5	5186
1987	0.0012799414883891023	7	5469
1988	0.001452696568004358	8	5507
1989	0.0008716875871687587	5	5736
1990	0.0008771929824561404	5	5700
1991	0.0006790018672551349	4	5891
1992	0.0006691201070592171	4	5978
1993	0.0008390669575432119	5	5959
1994	0.0003317299718029524	2	6029
1995	0.0007782101167315176	5	6425
1996	0.0007567731194187983	5	6607
1997	0.0005556584552694943	3	5399
1998	0.0005514199062586159	2	3627
1999	0.0009903791737408036	7	7068
2000	0.0006079766536964981	5	8224
2001	0.0007201497911565605	5	6943
2002	0.0003835091083413231	2	5215
2003	0.0013892747985551543	10	7198
2004	0.0008979347500748278	6	6682
2005	0.0006493506493506494	4	6160
2006	0	0	3470
2007	0	0	2099
2008	0.0005389867049946101	6	11132
2009	0.0004171632896305125	7	16780
2010	0.00045525494276795007	7	15376
2011	0.0005446623093681918	8	14688
2012	0.0007789561986937504	13	16689
2013	0.0003125488357555868	6	19197
