year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0.00034317089910775565	1	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0.00026048450117218026	1	3839
1958	0	0	3739
1959	0	0	3815
1960	0.00026490066225165563	1	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0.00018148820326678765	1	5510
1967	0.000177367860943597	1	5638
1968	0.0010030090270812437	6	5982
1969	0.0010355540214014498	6	5794
1970	0.0016815200941651253	10	5947
1971	0.0007987220447284345	4	5008
1972	0.00032357223750202233	2	6181
1973	0.0015202702702702704	9	5920
1974	0.001525262154432793	8	5245
1975	0.0004028197381671702	2	4965
1976	0.00019451468585878233	1	5141
1977	0.0003704389701796629	2	5399
1978	0.0005425935973955507	3	5529
1979	0.00018942981625307822	1	5279
1980	0.00018450184501845018	1	5420
1981	0.0003753049352598987	2	5329
1982	0.00018800526414739614	1	5319
1983	0.0001892147587511826	1	5285
1984	0.0003756574004507889	2	5324
1985	0.00017497812773403323	1	5715
1986	0.0001928268414963363	1	5186
1987	0.0007313951362223441	4	5469
1988	0.0003631741420010895	2	5507
1989	0.00017433751743375174	1	5736
1990	0.00017543859649122806	1	5700
1991	0.00016975046681378373	1	5891
1992	0.00016728002676480428	1	5978
1993	0.0005034401745259272	3	5959
1994	0.0006634599436059048	4	6029
1995	0.000311284046692607	2	6425
1996	0.0003027092477675193	2	6607
1997	0.0003704389701796629	2	5399
1998	0.0005514199062586159	2	3627
1999	0.0005659309564233164	4	7068
2000	0.00036478599221789884	3	8224
2001	0	0	6943
2002	0.0005752636625119846	3	5215
2003	0.0002778549597110308	2	7198
2004	0	0	6682
2005	0	0	6160
2006	0.0005763688760806917	2	3470
2007	0.0004764173415912339	1	2099
2008	0.00017966223499820338	2	11132
2009	0.0002979737783075089	5	16780
2010	0.0001951092611862643	3	15376
2011	0.00047657952069716776	7	14688
2012	0.0016777518125711546	28	16689
2013	0.0058342449341042876	112	19197
