year	portion	word_count	total_count
1945	0	0	276
1946	0.005284015852047556	8	1514
1947	0.004229607250755287	7	1655
1948	0.005456349206349206	11	2016
1949	0.008792965627498001	22	2502
1950	0.005409304002884962	15	2773
1951	0.003197158081705151	9	2815
1952	0.0037748798901853123	11	2914
1953	0.003626772172766238	11	3033
1954	0.005833589192508443	19	3257
1955	0.004153686396677051	16	3852
1956	0.0026062027625749283	10	3837
1957	0.003907267517582704	15	3839
1958	0.0034768654720513507	13	3739
1959	0.0020969855832241153	8	3815
1960	0.003708609271523179	14	3775
1961	0.004758667573079538	21	4413
1962	0.005519558435325174	23	4167
1963	0.0041457560549858176	19	4583
1964	0.005805805805805806	29	4995
1965	0.0027958993476234857	15	5365
1966	0.004537205081669692	25	5510
1967	0.008158921603405462	46	5638
1968	0.004847876964226012	29	5982
1969	0.010182947877114256	59	5794
1970	0.009080208508491677	54	5947
1971	0.0029952076677316293	15	5008
1972	0.0043682252062773015	27	6181
1973	0.005574324324324325	33	5920
1974	0.005529075309818875	29	5245
1975	0.0052366565961732125	26	4965
1976	0.005640925889904688	29	5141
1977	0.006112243007964438	33	5399
1978	0.0066919877012117926	37	5529
1979	0.00757719265012313	40	5279
1980	0.007195571955719557	39	5420
1981	0.005066616626008632	27	5329
1982	0.004136115811242715	22	5319
1983	0.0062440870387890255	33	5285
1984	0.005447032306536439	29	5324
1985	0.00647419072615923	37	5715
1986	0.007134593135364443	37	5186
1987	0.007496800146279028	41	5469
1988	0.009079353550027237	50	5507
1989	0.005578800557880056	32	5736
1990	0.0036842105263157894	21	5700
1991	0.006620268205737566	39	5891
1992	0.007193041150886584	43	5978
1993	0.008726296358449404	52	5959
1994	0.007132194393763476	43	6029
1995	0.008249027237354085	53	6425
1996	0.0065082488270016645	43	6607
1997	0.009816632709761066	53	5399
1998	0.007719878687620623	28	3627
1999	0.007357102433503113	52	7068
2000	0.013375486381322957	110	8224
2001	0.012674636324355466	88	6943
2002	0.01112176414189837	58	5215
2003	0.011669908307863295	84	7198
2004	0.009278659084106555	62	6682
2005	0.008928571428571428	55	6160
2006	0.01181556195965418	41	3470
2007	0.014768937589328252	31	2099
2008	0.005569529284944304	62	11132
2009	0.009654350417163289	162	16780
2010	0.01047086368366285	161	15376
2011	0.012118736383442266	178	14688
2012	0.013601773623344719	227	16689
2013	0.01291868521123092	248	19197
