year	portion	word_count	total_count
1945	0	0	276
1946	0.0006605019815059445	1	1514
1947	0.0006042296072507553	1	1655
1948	0.002976190476190476	6	2016
1949	0.005195843325339729	13	2502
1950	0.00288496213487198	8	2773
1951	0.0007104795737122557	2	2815
1952	0.0017158544955387784	5	2914
1953	0.0016485328058028356	5	3033
1954	0.003991403131716303	13	3257
1955	0.002336448598130841	9	3852
1956	0.001563721657544957	6	3837
1957	0.0013024225058609013	5	3839
1958	0.0005349023803155924	2	3739
1959	0.0015727391874180866	6	3815
1960	0.0018543046357615894	7	3775
1961	0.0018128257421255382	8	4413
1962	0.0026397888168946484	11	4167
1963	0.00196377918394065	9	4583
1964	0.0022022022022022024	11	4995
1965	0.002423112767940354	13	5365
1966	0.001996370235934664	11	5510
1967	0.0023057821922667612	13	5638
1968	0.003009027081243731	18	5982
1969	0.003279254401104591	19	5794
1970	0.0018496721035816377	11	5947
1971	0.002196485623003195	11	5008
1972	0.0017796473062611229	11	6181
1973	0.002195945945945946	13	5920
1974	0.002478551000953289	13	5245
1975	0.002215508559919436	11	4965
1976	0.0031122349737405172	16	5141
1977	0.004630487127245786	25	5399
1978	0.004521613311629589	25	5529
1979	0.004925175222580034	26	5279
1980	0.002952029520295203	16	5420
1981	0.005066616626008632	27	5329
1982	0.004324121075390111	23	5319
1983	0.003973509933774834	21	5285
1984	0.0035687453042824945	19	5324
1985	0.004024496937882764	23	5715
1986	0.006556112610875434	34	5186
1987	0.005851161089778753	32	5469
1988	0.0036317414200108954	20	5507
1989	0.004532775453277545	26	5736
1990	0.005263157894736842	30	5700
1991	0.0054320149380410795	32	5891
1992	0.00819672131147541	49	5978
1993	0.0055378419197851985	33	5959
1994	0.005639409520650191	34	6029
1995	0.006848249027237354	44	6425
1996	0.005146057212047828	34	6607
1997	0.007779218373772921	42	5399
1998	0.0035842293906810036	13	3627
1999	0.0043859649122807015	31	7068
2000	0.008268482490272374	68	8224
2001	0.006625378078640358	46	6943
2002	0.006136145733461169	32	5215
2003	0.0065295915532092245	47	7198
2004	0.006135887458844657	41	6682
2005	0.003896103896103896	24	6160
2006	0.004034582132564841	14	3470
2007	0.0033349213911386373	7	2099
2008	0.004132231404958678	46	11132
2009	0.0054827175208581646	92	16780
2010	0.006048387096774193	93	15376
2011	0.006195533769063181	91	14688
2012	0.006471328419917311	108	16689
2013	0.006928165859248841	133	19197
