year	portion	word_count	total_count
1945	0	0	276
1946	0.003963011889035667	6	1514
1947	0.005438066465256798	9	1655
1948	0.005952380952380952	12	2016
1949	0.009592326139088728	24	2502
1950	0.00576992426974396	16	2773
1951	0.003552397868561279	10	2815
1952	0.005147563486616335	15	2914
1953	0.004945598417408506	15	3033
1954	0.004912496162112374	16	3257
1955	0.004932502596053998	19	3852
1956	0.003388063591347407	13	3837
1957	0.004688721021099245	18	3839
1958	0.004546670232682536	17	3739
1959	0.0034076015727391874	13	3815
1960	0.004503311258278146	17	3775
1961	0.006571493315205076	29	4413
1962	0.005999520038396928	25	4167
1963	0.006545930613135501	30	4583
1964	0.006806806806806807	34	4995
1965	0.004100652376514445	22	5365
1966	0.006896551724137931	38	5510
1967	0.009755232351897836	55	5638
1968	0.009361417586091608	56	5982
1969	0.01277183293061788	74	5794
1970	0.011602488649739364	69	5947
1971	0.004592651757188498	23	5008
1972	0.004853583562530335	30	6181
1973	0.006756756756756757	40	5920
1974	0.008007626310772164	42	5245
1975	0.006243705941591138	31	4965
1976	0.0062244699474810344	32	5141
1977	0.007223559918503426	39	5399
1978	0.011394465545306565	63	5529
1979	0.009092631180147755	48	5279
1980	0.007749077490774908	42	5420
1981	0.007318446237568024	39	5329
1982	0.0056401579244218835	30	5319
1983	0.011352885525070956	60	5285
1984	0.008076634109691961	43	5324
1985	0.008048993875765529	46	5715
1986	0.009641342074816815	50	5186
1987	0.009508136770890473	52	5469
1988	0.010350463047031052	57	5507
1989	0.00697350069735007	40	5736
1990	0.0059649122807017545	34	5700
1991	0.009166525207944322	54	5891
1992	0.010705921712947474	64	5978
1993	0.012082564188622252	72	5959
1994	0.008624979266876762	52	6029
1995	0.01151750972762646	74	6425
1996	0.00892992280914182	59	6607
1997	0.012224486015928876	66	5399
1998	0.00964984835952578	35	3627
1999	0.00919637804187889	65	7068
2000	0.017144941634241247	141	8224
2001	0.01627538528013827	113	6943
2002	0.013422818791946308	70	5215
2003	0.013337038066129481	96	7198
2004	0.012271774917689314	82	6682
2005	0.011850649350649351	73	6160
2006	0.01440922190201729	50	3470
2007	0.017627441638875654	37	2099
2008	0.007815307222421847	87	11132
2009	0.011740166865315852	197	16780
2010	0.012877211238293444	198	15376
2011	0.015522875816993464	228	14688
2012	0.01593864221942597	266	16689
2013	0.014793978225764443	284	19197
