year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0.0006042296072507553	1	1655
1948	0.00248015873015873	5	2016
1949	0.005195843325339729	13	2502
1950	0.0018031013342949874	5	2773
1951	0	0	2815
1952	0.0013726835964310226	4	2914
1953	0.0009891196834817012	3	3033
1954	0.0021492170709241634	7	3257
1955	0.000778816199376947	3	3852
1956	0.0010424811050299713	4	3837
1957	0.0005209690023443605	2	3839
1958	0.0005349023803155924	2	3739
1959	0.0005242463958060288	2	3815
1960	0.0007947019867549669	3	3775
1961	0.00045320643553138455	2	4413
1962	0.0009599232061435085	4	4167
1963	0.0006545930613135501	3	4583
1964	0.0002002002002002002	1	4995
1965	0.0009319664492078285	5	5365
1966	0.000544464609800363	3	5510
1967	0.000354735721887194	2	5638
1968	0.001671681711802073	10	5982
1969	0.0010355540214014498	6	5794
1970	0.0005044560282495376	3	5947
1971	0.00019968051118210862	1	5008
1972	0.00032357223750202233	2	6181
1973	0.00033783783783783786	2	5920
1974	0	0	5245
1975	0.0004028197381671702	2	4965
1976	0.000583544057576347	3	5141
1977	0.0005556584552694943	3	5399
1978	0.0007234581298607343	4	5529
1979	0.0022731577950369387	12	5279
1980	0.0005535055350553505	3	5420
1981	0.0003753049352598987	2	5329
1982	0.0005640157924421884	3	5319
1983	0.0003784295175023652	2	5285
1984	0.0011269722013523666	6	5324
1985	0.0006999125109361329	4	5715
1986	0.0009641342074816814	5	5186
1987	0.0016456390565002743	9	5469
1988	0.0009079353550027238	5	5507
1989	0.0003486750348675035	2	5736
1990	0.0014035087719298245	8	5700
1991	0.0005092514004413513	3	5891
1992	0.0018400802944128472	11	5978
1993	0.0015103205235777815	9	5959
1994	0.0009951899154088573	6	6029
1995	0.0015564202334630351	10	6425
1996	0.0010594823671863176	7	6607
1997	0.0016669753658084831	9	5399
1998	0.0005514199062586159	2	3627
1999	0.0009903791737408036	7	7068
2000	0.0014591439688715954	12	8224
2001	0.001440299582313121	10	6943
2002	0.0009587727708533077	5	5215
2003	0.0013892747985551543	10	7198
2004	0.0008979347500748278	6	6682
2005	0.0011363636363636363	7	6160
2006	0.0005763688760806917	2	3470
2007	0.0014292520247737017	3	2099
2008	0.0010779734099892202	12	11132
2009	0.001132300357568534	19	16780
2010	0.0018860561914672217	29	15376
2011	0.001770152505446623	26	14688
2012	0.0014979926897956738	25	16689
2013	0.001146012397770485	22	19197
