year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0.0003629764065335753	2	5510
1967	0.000177367860943597	1	5638
1968	0.00016716817118020728	1	5982
1969	0.00034518467380048324	2	5794
1970	0.0006726080376660501	4	5947
1971	0.0005990415335463259	3	5008
1972	0.0006471444750040447	4	6181
1973	0.0006756756756756757	4	5920
1974	0.001334604385128694	7	5245
1975	0.0006042296072507553	3	4965
1976	0.000583544057576347	3	5141
1977	0.0016669753658084831	9	5399
1978	0.001266051727256285	7	5529
1979	0.00037885963250615644	2	5279
1980	0.001107011070110701	6	5420
1981	0.001125914805779696	6	5329
1982	0.001692047377326565	9	5319
1983	0.0007568590350047304	4	5285
1984	0.0003756574004507889	2	5324
1985	0.0006999125109361329	4	5715
1986	0.0003856536829926726	2	5186
1987	0.00036569756811117204	2	5469
1988	0.0003631741420010895	2	5507
1989	0.0005230125523012552	3	5736
1990	0.0008771929824561404	5	5700
1991	0.0008487523340689187	5	5891
1992	0.00033456005352960856	2	5978
1993	0.0006712535660345696	4	5959
1994	0.0003317299718029524	2	6029
1995	0.000622568093385214	4	6425
1996	0.0004540638716512789	3	6607
1997	0.0007408779403593258	4	5399
1998	0.0005514199062586159	2	3627
1999	0.00042444821731748726	3	7068
2000	0.00048638132295719845	4	8224
2001	0.00028805991646262423	2	6943
2002	0.0005752636625119846	3	5215
2003	0.0004167824395665463	3	7198
2004	0.0004489673750374139	3	6682
2005	0.000487012987012987	3	6160
2006	0.0008645533141210375	3	3470
2007	0.0004764173415912339	1	2099
2008	0.00017966223499820338	2	11132
2009	0.00005959475566150179	1	16780
2010	0.00013007284079084288	2	15376
2011	0.00013616557734204794	2	14688
2012	0.00029959853795913474	5	16689
2013	0.0004167317810074491	8	19197
