year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0.0005212405525149857	2	3837
1957	0.00026048450117218026	1	3839
1958	0.001337255950788981	5	3739
1959	0.0002621231979030144	1	3815
1960	0.0007947019867549669	3	3775
1961	0.0020394289598912306	9	4413
1962	0.001919846412287017	8	4167
1963	0.0037093606807767836	17	4583
1964	0.0022022022022022024	11	4995
1965	0.002423112767940354	13	5365
1966	0.005989110707803993	33	5510
1967	0.005498403689251507	31	5638
1968	0.0026746907388833165	16	5982
1969	0.0037970314118053157	22	5794
1970	0.003867496216579788	23	5947
1971	0.0023961661341853034	12	5008
1972	0.00420643908752629	26	6181
1973	0.0016891891891891893	10	5920
1974	0.0034318398474737846	18	5245
1975	0.005035246727089627	25	4965
1976	0.003501264345458082	18	5141
1977	0.003704389701796629	20	5399
1978	0.0019895098571170193	11	5529
1979	0.003978026141314643	21	5279
1980	0.0036900369003690036	20	5420
1981	0.00281478701444924	15	5329
1982	0.0028200789622109417	15	5319
1983	0.002838221381267739	15	5285
1984	0.002066115702479339	11	5324
1985	0.0029746281714785653	17	5715
1986	0.0036637099884303894	19	5186
1987	0.003474126897056135	19	5469
1988	0.002542218994007627	14	5507
1989	0.003486750348675035	20	5736
1990	0.0015789473684210526	9	5700
1991	0.001188253267696486	7	5891
1992	0.0021746403479424555	13	5978
1993	0.002013760698103709	12	5959
1994	0.001658649859014762	10	6029
1995	0.0017120622568093384	11	6425
1996	0.0012108369910700772	8	6607
1997	0.0025930727912576402	14	5399
1998	0.0013785497656465398	5	3627
1999	0.001697792869269949	12	7068
2000	0.002188715953307393	18	8224
2001	0.0020164194152383695	14	6943
2002	0.0015340364333652923	8	5215
2003	0.0018060572381217005	13	7198
2004	0.0017958695001496557	12	6682
2005	0.0012987012987012987	8	6160
2006	0.0011527377521613833	4	3470
2007	0.0023820867079561697	5	2099
2008	0.0008983111749910168	10	11132
2009	0.0007747318235995233	13	16780
2010	0.0013007284079084287	20	15376
2011	0.0015659041394335512	23	14688
2012	0.0008987956138774043	15	16689
2013	0.0005209147262593114	10	19197
