year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0.00035523978685612787	1	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0.00022660321776569228	1	4413
1962	0	0	4167
1963	0	0	4583
1964	0.0002002002002002002	1	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0.00033433634236041456	2	5982
1969	0.0005177770107007249	3	5794
1970	0	0	5947
1971	0.00019968051118210862	1	5008
1972	0.0004853583562530335	3	6181
1973	0.00016891891891891893	1	5920
1974	0	0	5245
1975	0.0002014098690835851	1	4965
1976	0.00019451468585878233	1	5141
1977	0.00018521948508983145	1	5399
1978	0.00036172906493036716	2	5529
1979	0.0005682894487592347	3	5279
1980	0	0	5420
1981	0	0	5329
1982	0	0	5319
1983	0.0007568590350047304	4	5285
1984	0.00018782870022539445	1	5324
1985	0.00034995625546806647	2	5715
1986	0.0005784805244890089	3	5186
1987	0.0007313951362223441	4	5469
1988	0.0005447612130016343	3	5507
1989	0.0019177126917712692	11	5736
1990	0.0012280701754385965	7	5700
1991	0.0010185028008827025	6	5891
1992	0.00234192037470726	14	5978
1993	0.002013760698103709	12	5959
1994	0.0029855697462265714	18	6029
1995	0.0026459143968871595	17	6425
1996	0.0018162554866051157	12	6607
1997	0.0038896091868864603	21	5399
1998	0.0041356492969396195	15	3627
1999	0.004951895868704018	35	7068
2000	0.007174124513618677	59	8224
2001	0.008065677660953478	56	6943
2002	0.006136145733461169	32	5215
2003	0.005557099194220617	40	7198
2004	0.004788985333732416	32	6682
2005	0.005032467532467532	31	6160
2006	0.009510086455331412	33	3470
2007	0.008099094807050978	17	2099
2008	0.0037729069349622707	42	11132
2009	0.004886769964243146	82	16780
2010	0.004032258064516129	62	15376
2011	0.003676470588235294	54	14688
2012	0.004014620408652406	67	16689
2013	0.00322967130280773	62	19197
