year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0.0003297065611605671	1	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0.0002674511901577962	1	3739
1959	0	0	3815
1960	0.00026490066225165563	1	3775
1961	0	0	4413
1962	0	0	4167
1963	0.0004363953742090334	2	4583
1964	0.0004004004004004004	2	4995
1965	0.0005591798695246971	3	5365
1966	0	0	5510
1967	0.000354735721887194	2	5638
1968	0.00033433634236041456	2	5982
1969	0.00017259233690024162	1	5794
1970	0.00033630401883302503	2	5947
1971	0.000998402555910543	5	5008
1972	0.0012942889500080893	8	6181
1973	0.0008445945945945946	5	5920
1974	0.0005719733079122975	3	5245
1975	0.0002014098690835851	1	4965
1976	0.00019451468585878233	1	5141
1977	0.0003704389701796629	2	5399
1978	0.00036172906493036716	2	5529
1979	0.0009471490812653912	5	5279
1980	0.001107011070110701	6	5420
1981	0.0015012197410395947	8	5329
1982	0.0009400263207369807	5	5319
1983	0.0003784295175023652	2	5285
1984	0.002441773102930128	13	5324
1985	0.0013998250218722659	8	5715
1986	0.0019282684149633628	10	5186
1987	0.0014627902724446882	8	5469
1988	0.002360631923007082	13	5507
1989	0.0008716875871687587	5	5736
1990	0.002456140350877193	14	5700
1991	0.002546257002206756	15	5891
1992	0.0026764804282368685	16	5978
1993	0.0018459473065950663	11	5959
1994	0.0038148946757339524	23	6029
1995	0.0017120622568093384	11	6425
1996	0.0027243832299076736	18	6607
1997	0.0018521948508983144	10	5399
1998	0.0024813895781637717	9	3627
1999	0.0018392756083757782	13	7068
2000	0.002553501945525292	21	8224
2001	0.002592539248163618	18	6943
2002	0.0019175455417066154	10	5215
2003	0.0022228396776882466	16	7198
2004	0.002394492666866208	16	6682
2005	0.003246753246753247	20	6160
2006	0.001440922190201729	5	3470
2007	0.0028585040495474035	6	2099
2008	0.0013474667624865254	15	11132
2009	0.002264600715137068	38	16780
2010	0.0023413111342351716	36	15376
2011	0.0014297385620915032	21	14688
2012	0.0029959853795913476	50	16689
2013	0.003125488357555868	60	19197
