year	portion	word_count	total_count
1945	0	0	276
1946	0.0006605019815059445	1	1514
1947	0	0	1655
1948	0.000992063492063492	2	2016
1949	0.0003996802557953637	1	2502
1950	0	0	2773
1951	0	0	2815
1952	0.0006863417982155113	2	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0.00026062027625749283	1	3837
1957	0.00026048450117218026	1	3839
1958	0.0005349023803155924	2	3739
1959	0.0002621231979030144	1	3815
1960	0.0005298013245033113	2	3775
1961	0.0006798096532970768	3	4413
1962	0.0007199424046076314	3	4167
1963	0.0002181976871045167	1	4583
1964	0.001001001001001001	5	4995
1965	0.0007455731593662628	4	5365
1966	0.000544464609800363	3	5510
1967	0.000532103582830791	3	5638
1968	0.00033433634236041456	2	5982
1969	0.0008629616845012082	5	5794
1970	0.0005044560282495376	3	5947
1971	0.0017971246006389776	9	5008
1972	0.0012942889500080893	8	6181
1973	0.00033783783783783786	2	5920
1974	0.0009532888465204957	5	5245
1975	0.002416918429003021	12	4965
1976	0.001750632172729041	9	5141
1977	0.0016669753658084831	9	5399
1978	0.002170374389582203	12	5529
1979	0.0011365788975184693	6	5279
1980	0.0014760147601476014	8	5420
1981	0.0018765246762994933	10	5329
1982	0.001504042113179169	8	5319
1983	0.0020813623462630085	11	5285
1984	0.0015026296018031556	8	5324
1985	0.0012248468941382328	7	5715
1986	0.002699575780948708	14	5186
1987	0.0018284878405558603	10	5469
1988	0.0018158707100054477	10	5507
1989	0.0017433751743375174	10	5736
1990	0.0012280701754385965	7	5700
1991	0.002037005601765405	12	5891
1992	0.0020073603211776514	12	5978
1993	0.0033562678301728476	20	5959
1994	0.0023221098026206667	14	6029
1995	0.0017120622568093384	11	6425
1996	0.0013621916149538368	9	6607
1997	0.0009260974254491572	5	5399
1998	0.0011028398125172319	4	3627
1999	0.0018392756083757782	13	7068
2000	0.0018239299610894942	15	8224
2001	0.0007201497911565605	5	6943
2002	0.0019175455417066154	10	5215
2003	0.0006946373992775772	5	7198
2004	0.000598623166716552	4	6682
2005	0.0011363636363636363	7	6160
2006	0.0008645533141210375	3	3470
2007	0.0014292520247737017	3	2099
2008	0.0008084800574919152	9	11132
2009	0.001966626936829559	33	16780
2010	0.0013007284079084287	20	15376
2011	0.0011574074074074073	17	14688
2012	0.0004793576607346156	8	16689
2013	0.0007292806167630359	14	19197
