year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0.00022660321776569228	1	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0.00018148820326678765	1	5510
1967	0.000177367860943597	1	5638
1968	0.00016716817118020728	1	5982
1969	0.00017259233690024162	1	5794
1970	0.00016815200941651252	1	5947
1971	0	0	5008
1972	0	0	6181
1973	0.00033783783783783786	2	5920
1974	0.00038131553860819826	2	5245
1975	0.0002014098690835851	1	4965
1976	0	0	5141
1977	0.00018521948508983145	1	5399
1978	0.00018086453246518358	1	5529
1979	0.00037885963250615644	2	5279
1980	0.00018450184501845018	1	5420
1981	0	0	5329
1982	0	0	5319
1983	0.0001892147587511826	1	5285
1984	0.00018782870022539445	1	5324
1985	0	0	5715
1986	0.0001928268414963363	1	5186
1987	0.00018284878405558602	1	5469
1988	0.00018158707100054475	1	5507
1989	0	0	5736
1990	0.0003508771929824561	2	5700
1991	0	0	5891
1992	0.00016728002676480428	1	5978
1993	0.0003356267830172848	2	5959
1994	0.0006634599436059048	4	6029
1995	0.0001556420233463035	1	6425
1996	0.0003027092477675193	2	6607
1997	0.00018521948508983145	1	5399
1998	0.0005514199062586159	2	3627
1999	0	0	7068
2000	0.0006079766536964981	5	8224
2001	0.00028805991646262423	2	6943
2002	0.0005752636625119846	3	5215
2003	0	0	7198
2004	0.000299311583358276	2	6682
2005	0.000974025974025974	6	6160
2006	0.00028818443804034583	1	3470
2007	0.0004764173415912339	1	2099
2008	0.00017966223499820338	2	11132
2009	0.0003575685339690107	6	16780
2010	0.0006503642039542144	10	15376
2011	0.0004084967320261438	6	14688
2012	0.00029959853795913474	5	16689
2013	0.0001562744178777934	3	19197
