year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0.0003996802557953637	1	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0.0003297065611605671	1	3033
1954	0	0	3257
1955	0.00025960539979231567	1	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0.00045320643553138455	2	4413
1962	0.00023998080153587713	1	4167
1963	0.0006545930613135501	3	4583
1964	0.0002002002002002002	1	4995
1965	0.0001863932898415657	1	5365
1966	0.0007259528130671506	4	5510
1967	0.000532103582830791	3	5638
1968	0.00016716817118020728	1	5982
1969	0.0008629616845012082	5	5794
1970	0	0	5947
1971	0.00039936102236421724	2	5008
1972	0.00032357223750202233	2	6181
1973	0	0	5920
1974	0.00019065776930409913	1	5245
1975	0	0	4965
1976	0	0	5141
1977	0.0007408779403593258	4	5399
1978	0	0	5529
1979	0.0005682894487592347	3	5279
1980	0.0005535055350553505	3	5420
1981	0	0	5329
1982	0.0005640157924421884	3	5319
1983	0.000946073793755913	5	5285
1984	0.0005634861006761833	3	5324
1985	0.00034995625546806647	2	5715
1986	0.0003856536829926726	2	5186
1987	0.0007313951362223441	4	5469
1988	0.00018158707100054475	1	5507
1989	0.0005230125523012552	3	5736
1990	0.0008771929824561404	5	5700
1991	0.00016975046681378373	1	5891
1992	0	0	5978
1993	0.0003356267830172848	2	5959
1994	0.0003317299718029524	2	6029
1995	0.0001556420233463035	1	6425
1996	0.0009081277433025579	6	6607
1997	0.00018521948508983145	1	5399
1998	0.00027570995312930797	1	3627
1999	0.0002829654782116582	2	7068
2000	0.0006079766536964981	5	8224
2001	0.0005761198329252485	4	6943
2002	0.0009587727708533077	5	5215
2003	0.0001389274798555154	1	7198
2004	0.0004489673750374139	3	6682
2005	0.00016233766233766234	1	6160
2006	0.0008645533141210375	3	3470
2007	0	0	2099
2008	0.0004491555874955084	5	11132
2009	0.0007151370679380214	12	16780
2010	0.0005853277835587929	9	15376
2011	0.0010893246187363835	16	14688
2012	0.0004793576607346156	8	16689
2013	0.00046882325363338024	9	19197
