year	portion	word_count	total_count
1945	0	0	276
1946	0.001321003963011889	2	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0.0003606202668589975	1	2773
1951	0	0	2815
1952	0.0006863417982155113	2	2914
1953	0.0003297065611605671	1	3033
1954	0.00030703101013202335	1	3257
1955	0	0	3852
1956	0.00026062027625749283	1	3837
1957	0.0013024225058609013	5	3839
1958	0	0	3739
1959	0.0002621231979030144	1	3815
1960	0.0010596026490066225	4	3775
1961	0.00022660321776569228	1	4413
1962	0.00047996160307175426	2	4167
1963	0.0006545930613135501	3	4583
1964	0.0004004004004004004	2	4995
1965	0.0007455731593662628	4	5365
1966	0.0007259528130671506	4	5510
1967	0.000709471443774388	4	5638
1968	0.00033433634236041456	2	5982
1969	0.0008629616845012082	5	5794
1970	0.0005044560282495376	3	5947
1971	0.0007987220447284345	4	5008
1972	0.0008089305937550558	5	6181
1973	0.0005067567567567568	3	5920
1974	0.0009532888465204957	5	5245
1975	0.0002014098690835851	1	4965
1976	0.00019451468585878233	1	5141
1977	0.0003704389701796629	2	5399
1978	0.0009043226623259179	5	5529
1979	0.0007577192650123129	4	5279
1980	0.0009225092250922509	5	5420
1981	0.0003753049352598987	2	5329
1982	0.0005640157924421884	3	5319
1983	0.0001892147587511826	1	5285
1984	0.0007513148009015778	4	5324
1985	0.0008748906386701663	5	5715
1986	0.0017354415734670266	9	5186
1987	0.0009142439202779302	5	5469
1988	0.0003631741420010895	2	5507
1989	0.0008716875871687587	5	5736
1990	0.0010526315789473684	6	5700
1991	0.0006790018672551349	4	5891
1992	0.0010036801605888257	6	5978
1993	0.0010068803490518544	6	5959
1994	0.0013269198872118096	8	6029
1995	0.0007782101167315176	5	6425
1996	0.0004540638716512789	3	6607
1997	0.0009260974254491572	5	5399
1998	0.0005514199062586159	2	3627
1999	0.00042444821731748726	3	7068
2000	0.0007295719844357977	6	8224
2001	0.0010082097076191847	7	6943
2002	0.0005752636625119846	3	5215
2003	0.0006946373992775772	5	7198
2004	0.000598623166716552	4	6682
2005	0.000487012987012987	3	6160
2006	0.00028818443804034583	1	3470
2007	0.003811338732729871	8	2099
2008	0.0005389867049946101	6	11132
2009	0.0005363528009535161	9	16780
2010	0.00045525494276795007	7	15376
2011	0.0006127450980392157	9	14688
2012	0.0004793576607346156	8	16689
2013	0.000781372089388967	15	19197
