year	portion	word_count	total_count
1945	0	0	276
1946	0.0019815059445178335	3	1514
1947	0.0006042296072507553	1	1655
1948	0.001984126984126984	4	2016
1949	0.001199040767386091	3	2502
1950	0.0032455824017309774	9	2773
1951	0.0010657193605683837	3	2815
1952	0.001029512697323267	3	2914
1953	0.0013188262446422684	4	3033
1954	0.0012281240405280934	4	3257
1955	0.0005192107995846313	2	3852
1956	0.0005212405525149857	2	3837
1957	0.001041938004688721	4	3839
1958	0.002941963091735758	11	3739
1959	0.0010484927916120576	4	3815
1960	0.00026490066225165563	1	3775
1961	0.0013596193065941536	6	4413
1962	0.00167986561075114	7	4167
1963	0.003491162993672267	16	4583
1964	0.0026026026026026027	13	4995
1965	0.0022367194780987883	12	5365
1966	0.003992740471869328	22	5510
1967	0.0033699893579283435	19	5638
1968	0.0043463724506853894	26	5982
1969	0.004659993096306524	27	5794
1970	0.005212712291911888	31	5947
1971	0.005191693290734824	26	5008
1972	0.005986086393787413	37	6181
1973	0.004222972972972973	25	5920
1974	0.0038131553860819827	20	5245
1975	0.005035246727089627	25	4965
1976	0.0050573818323283405	26	5141
1977	0.0029635117614373032	16	5399
1978	0.0039790197142340385	22	5529
1979	0.004167455957567721	22	5279
1980	0.003136531365313653	17	5420
1981	0.0037530493525989865	20	5329
1982	0.004136115811242715	22	5319
1983	0.004162724692526017	22	5285
1984	0.004320060105184072	23	5324
1985	0.004024496937882764	23	5715
1986	0.005399151561897416	28	5186
1987	0.0038398244651673065	21	5469
1988	0.0036317414200108954	20	5507
1989	0.0048814504881450485	28	5736
1990	0.0029824561403508773	17	5700
1991	0.003395009336275675	20	5891
1992	0.004182000669120107	25	5978
1993	0.003020641047155563	18	5959
1994	0.003980759661635429	24	6029
1995	0.0031128404669260703	20	6425
1996	0.003027092477675193	20	6607
1997	0.003704389701796629	20	5399
1998	0.0038599393438103115	14	3627
1999	0.004810413129598189	34	7068
2000	0.00620136186770428	51	8224
2001	0.0069134379951029815	48	6943
2002	0.004026845637583893	21	5215
2003	0.00819672131147541	59	7198
2004	0.0046393295420532775	31	6682
2005	0.004707792207792208	29	6160
2006	0.003170028818443804	11	3470
2007	0.005240590757503573	11	2099
2008	0.0021559468199784403	24	11132
2009	0.0033373063170441	56	16780
2010	0.004682622268470343	72	15376
2011	0.004084967320261438	60	14688
2012	0.0050931751453052905	85	16689
2013	0.004063134864822629	78	19197
