year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0.0005349023803155924	2	3739
1959	0	0	3815
1960	0	0	3775
1961	0.00022660321776569228	1	4413
1962	0	0	4167
1963	0.0026183722452542005	12	4583
1964	0.006006006006006006	30	4995
1965	0.006150978564771668	33	5365
1966	0.009255898366606171	51	5510
1967	0.015785739623980135	89	5638
1968	0.02156469408224674	129	5982
1969	0.027096996893337937	157	5794
1970	0.02135530519589709	127	5947
1971	0.015575079872204472	78	5008
1972	0.011972172787574826	74	6181
1973	0.013006756756756757	77	5920
1974	0.008007626310772164	42	5245
1975	0.012084592145015106	60	4965
1976	0.0099202489787979	51	5141
1977	0.00907575476940174	49	5399
1978	0.009585820220654729	53	5529
1979	0.01060806971017238	56	5279
1980	0.011623616236162362	63	5420
1981	0.011071495590167011	59	5329
1982	0.00921225794322241	49	5319
1983	0.011352885525070956	60	5285
1984	0.01314800901577761	70	5324
1985	0.009973753280839895	57	5715
1986	0.012726571538758195	66	5186
1987	0.010056683123057231	55	5469
1988	0.010895224260032685	60	5507
1989	0.007322175732217573	42	5736
1990	0.007017543859649123	40	5700
1991	0.0057715158716686475	34	5891
1992	0.006691201070592171	40	5978
1993	0.008894109749958046	53	5959
1994	0.008956709238679715	54	6029
1995	0.011050583657587548	71	6425
1996	0.008021795065839261	53	6607
1997	0.01389146138173736	75	5399
1998	0.009925558312655087	36	3627
1999	0.012167515563101302	86	7068
2000	0.015442607003891051	127	8224
2001	0.01440299582313121	100	6943
2002	0.01591562799616491	83	5215
2003	0.01792164490136149	129	7198
2004	0.013020053876085005	87	6682
2005	0.014935064935064935	92	6160
2006	0.017867435158501442	62	3470
2007	0.014292520247737018	30	2099
2008	0.013115343154868847	146	11132
2009	0.011978545887961859	201	16780
2010	0.009885535900104058	152	15376
2011	0.010076252723311547	148	14688
2012	0.008688357600814907	145	16689
2013	0.007917903839141533	152	19197
