year	portion	word_count	total_count
1945	0.050724637681159424	14	276
1946	0.04953764861294584	75	1514
1947	0.03444108761329305	57	1655
1948	0.039186507936507936	79	2016
1949	0.03317346123101519	83	2502
1950	0.03317706455102777	92	2773
1951	0.045825932504440496	129	2815
1952	0.038435140700068635	112	2914
1953	0.04516979887899769	137	3033
1954	0.032852318084126496	107	3257
1955	0.03790238836967809	146	3852
1956	0.035444357571019026	136	3837
1957	0.04037509768168794	155	3839
1958	0.03824552019256486	143	3739
1959	0.03197903014416776	122	3815
1960	0.03682119205298013	139	3775
1961	0.03784273736687061	167	4413
1962	0.03623710103191745	151	4167
1963	0.033384246126991056	153	4583
1964	0.03863863863863864	193	4995
1965	0.03727865796831314	200	5365
1966	0.03502722323049002	193	5510
1967	0.03742461865909897	211	5638
1968	0.03092611166833835	185	5982
1969	0.03313772868484639	192	5794
1970	0.026231713468975956	156	5947
1971	0.03194888178913738	160	5008
1972	0.031062934800194144	192	6181
1973	0.027533783783783784	163	5920
1974	0.027645376549094377	145	5245
1975	0.028600201409869085	142	4965
1976	0.03228943785255787	166	5141
1977	0.02667160585293573	144	5399
1978	0.02369325375293905	131	5529
1979	0.030877060049251753	163	5279
1980	0.03302583025830258	179	5420
1981	0.0273972602739726	146	5329
1982	0.028012784357962024	149	5319
1983	0.029706717123935668	157	5285
1984	0.033245679939894815	177	5324
1985	0.028871391076115485	165	5715
1986	0.032973389895873506	171	5186
1987	0.03510696653867252	192	5469
1988	0.032867259851098604	181	5507
1989	0.03294979079497908	189	5736
1990	0.03701754385964912	211	5700
1991	0.03496859616363945	206	5891
1992	0.035463365674138506	212	5978
1993	0.028360463164960565	169	5959
1994	0.03168021230718195	191	6029
1995	0.021011673151750974	135	6425
1996	0.020886938095958832	138	6607
1997	0.02463419151694758	133	5399
1998	0.01626688723462917	59	3627
1999	0.016129032258064516	114	7068
2000	0.015077821011673152	124	8224
2001	0.017571654904220076	122	6943
2002	0.01821668264621285	95	5215
2003	0.014031675465407057	101	7198
2004	0.018108350793175697	121	6682
2005	0.019155844155844155	118	6160
2006	0.014697406340057636	51	3470
2007	0.014768937589328252	31	2099
2008	0.018235716852317643	203	11132
2009	0.027473182359952324	461	16780
2010	0.03141259105098855	483	15376
2011	0.02696078431372549	396	14688
2012	0.026844029001138473	448	16689
2013	0.02838985258113247	545	19197
