year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0	0	5245
1975	0	0	4965
1976	0	0	5141
1977	0	0	5399
1978	0	0	5529
1979	0	0	5279
1980	0.00018450184501845018	1	5420
1981	0.00018765246762994934	1	5329
1982	0	0	5319
1983	0.0001892147587511826	1	5285
1984	0.0007513148009015778	4	5324
1985	0.0006999125109361329	4	5715
1986	0.0021210952564596993	11	5186
1987	0.0032912781130005485	18	5469
1988	0.001452696568004358	8	5507
1989	0.0012203626220362621	7	5736
1990	0.0015789473684210526	9	5700
1991	0.001188253267696486	7	5891
1992	0.003011040481766477	18	5978
1993	0.0011746937405604967	7	5959
1994	0.0006634599436059048	4	6029
1995	0.0014007782101167316	9	6425
1996	0.0007567731194187983	5	6607
1997	0.0009260974254491572	5	5399
1998	0.00027570995312930797	1	3627
1999	0.0009903791737408036	7	7068
2000	0.0010943579766536965	9	8224
2001	0.00014402995823131211	1	6943
2002	0.0011505273250239693	6	5215
2003	0.0004167824395665463	3	7198
2004	0.000598623166716552	4	6682
2005	0.00016233766233766234	1	6160
2006	0.00028818443804034583	1	3470
2007	0.0004764173415912339	1	2099
2008	0.0004491555874955084	5	11132
2009	0.00023837902264600716	4	16780
2010	0.00045525494276795007	7	15376
2011	0.0004084967320261438	6	14688
2012	0.0005991970759182695	10	16689
2013	0.00020836589050372454	4	19197
