year	portion	word_count	total_count
1945	0.0036231884057971015	1	276
1946	0.0006605019815059445	1	1514
1947	0.0018126888217522659	3	1655
1948	0.001984126984126984	4	2016
1949	0.0015987210231814548	4	2502
1950	0.0018031013342949874	5	2773
1951	0.0017761989342806395	5	2815
1952	0.0034317089910775567	10	2914
1953	0.0013188262446422684	4	3033
1954	0.00184218606079214	6	3257
1955	0.0028556593977154725	11	3852
1956	0.0036486838676048996	14	3837
1957	0.005209690023443605	20	3839
1958	0.006418828563787109	24	3739
1959	0.008125819134993446	31	3815
1960	0.006622516556291391	25	3775
1961	0.007931112621799229	35	4413
1962	0.005279577633789297	22	4167
1963	0.006764128300240017	31	4583
1964	0.00880880880880881	44	4995
1965	0.009878844361602983	53	5365
1966	0.008348457350272231	46	5510
1967	0.00833628946434906	47	5638
1968	0.006686726847208292	40	5982
1969	0.010182947877114256	59	5794
1970	0.010425424583823777	62	5947
1971	0.01178115015974441	59	5008
1972	0.009060022650056626	56	6181
1973	0.00945945945945946	56	5920
1974	0.00896091515729266	47	5245
1975	0.01570996978851964	78	4965
1976	0.015366660182843805	79	5141
1977	0.012594924986108539	68	5399
1978	0.015011756194610237	83	5529
1979	0.015912104565258572	84	5279
1980	0.01678966789667897	91	5420
1981	0.015575154813285795	83	5329
1982	0.01748448956570784	93	5319
1983	0.017029328287606435	90	5285
1984	0.017092411720510892	91	5324
1985	0.018197725284339456	104	5715
1986	0.018511376783648285	96	5186
1987	0.019199122325836534	105	5469
1988	0.016161249319048485	89	5507
1989	0.01708507670850767	98	5736
1990	0.015087719298245613	86	5700
1991	0.014768290612799185	87	5891
1992	0.015724322515891603	94	5978
1993	0.01258600436314818	75	5959
1994	0.01525957870293581	92	6029
1995	0.017431906614785993	112	6425
1996	0.01710307249886484	113	6607
1997	0.021485460270420448	116	5399
1998	0.015439757375241246	56	3627
1999	0.017826825127334467	126	7068
2000	0.016780155642023346	138	8224
2001	0.01843583465360795	128	6943
2002	0.019175455417066157	100	5215
2003	0.02306196165601556	166	7198
2004	0.019455252918287938	130	6682
2005	0.020616883116883117	127	6160
2006	0.023054755043227664	80	3470
2007	0.0266793711291091	56	2099
2008	0.013205174272367948	147	11132
2009	0.015017878426698451	252	16780
2010	0.015998959417273674	246	15376
2011	0.014705882352941176	216	14688
2012	0.015878722511834142	265	16689
2013	0.013543782882742095	260	19197
