year	portion	word_count	total_count
1945	0	0	276
1946	0.0006605019815059445	1	1514
1947	0	0	1655
1948	0.001984126984126984	4	2016
1949	0.0019984012789768186	5	2502
1950	0.002163721601153985	6	2773
1951	0.0014209591474245115	4	2815
1952	0.0013726835964310226	4	2914
1953	0.003297065611605671	10	3033
1954	0.0015351550506601166	5	3257
1955	0.004153686396677051	16	3852
1956	0.003909304143862392	15	3837
1957	0.005470174524615785	21	3839
1958	0.002674511901577962	10	3739
1959	0.0034076015727391874	13	3815
1960	0.006887417218543046	26	3775
1961	0.005211874008610922	23	4413
1962	0.003839692824574034	16	4167
1963	0.005454942177612917	25	4583
1964	0.004404404404404405	22	4995
1965	0.0027958993476234857	15	5365
1966	0.006533575317604356	36	5510
1967	0.005321035828307911	30	5638
1968	0.004680708793045804	28	5982
1969	0.004659993096306524	27	5794
1970	0.005549016310744914	33	5947
1971	0.0037939297124600637	19	5008
1972	0.00420643908752629	26	6181
1973	0.004222972972972973	25	5920
1974	0.0032411820781696856	17	5245
1975	0.005438066465256798	27	4965
1976	0.002334176230305388	12	5141
1977	0.0025930727912576402	14	5399
1978	0.0019895098571170193	11	5529
1979	0.0022731577950369387	12	5279
1980	0.0027675276752767526	15	5420
1981	0.0035653968849690375	19	5329
1982	0.0035721000188005266	19	5319
1983	0.003784295175023652	20	5285
1984	0.005634861006761833	30	5324
1985	0.003674540682414698	21	5715
1986	0.0028924026224450444	15	5186
1987	0.0025598829767782046	14	5469
1988	0.0019974577810059923	11	5507
1989	0.0020920502092050207	12	5736
1990	0.002807017543859649	16	5700
1991	0.0008487523340689187	5	5891
1992	0.0016728002676480427	10	5978
1993	0.0008390669575432119	5	5959
1994	0.0019903798308177146	12	6029
1995	0.000933852140077821	6	6425
1996	0.0016649008627213561	11	6607
1997	0.0012965363956288201	7	5399
1998	0.0005514199062586159	2	3627
1999	0.00155631013016412	11	7068
2000	0.001580739299610895	13	8224
2001	0.001440299582313121	10	6943
2002	0.0017257909875359539	9	5215
2003	0.0006946373992775772	5	7198
2004	0.0010475905417539658	7	6682
2005	0.000487012987012987	3	6160
2006	0.0005763688760806917	2	3470
2007	0.0004764173415912339	1	2099
2008	0.0008084800574919152	9	11132
2009	0.0005959475566150178	10	16780
2010	0.0007804370447450572	12	15376
2011	0.0006808278867102397	10	14688
2012	0.0001198394151836539	2	16689
2013	0.0003125488357555868	6	19197
