year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0.0003606202668589975	1	2773
1951	0.0014209591474245115	4	2815
1952	0.00034317089910775565	1	2914
1953	0.0003297065611605671	1	3033
1954	0.00030703101013202335	1	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0.00026490066225165563	1	3775
1961	0.0006798096532970768	3	4413
1962	0.0009599232061435085	4	4167
1963	0.0006545930613135501	3	4583
1964	0	0	4995
1965	0.0003727865796831314	2	5365
1966	0.00018148820326678765	1	5510
1967	0.000177367860943597	1	5638
1968	0	0	5982
1969	0.00034518467380048324	2	5794
1970	0.0005044560282495376	3	5947
1971	0	0	5008
1972	0.00016178611875101117	1	6181
1973	0.00016891891891891893	1	5920
1974	0.00038131553860819826	2	5245
1975	0.0002014098690835851	1	4965
1976	0.00019451468585878233	1	5141
1977	0.0003704389701796629	2	5399
1978	0.00018086453246518358	1	5529
1979	0.00018942981625307822	1	5279
1980	0.00036900369003690036	2	5420
1981	0.00018765246762994934	1	5329
1982	0.00037601052829479227	2	5319
1983	0.000946073793755913	5	5285
1984	0.0005634861006761833	3	5324
1985	0.00034995625546806647	2	5715
1986	0.0001928268414963363	1	5186
1987	0.0009142439202779302	5	5469
1988	0.0005447612130016343	3	5507
1989	0.0005230125523012552	3	5736
1990	0	0	5700
1991	0.00033950093362756747	2	5891
1992	0.00033456005352960856	2	5978
1993	0.0008390669575432119	5	5959
1994	0	0	6029
1995	0.0001556420233463035	1	6425
1996	0.0003027092477675193	2	6607
1997	0.0003704389701796629	2	5399
1998	0	0	3627
1999	0.0001414827391058291	1	7068
2000	0.00012159533073929961	1	8224
2001	0.00014402995823131211	1	6943
2002	0.0003835091083413231	2	5215
2003	0.0002778549597110308	2	7198
2004	0.000299311583358276	2	6682
2005	0	0	6160
2006	0.00028818443804034583	1	3470
2007	0	0	2099
2008	0.00017966223499820338	2	11132
2009	0.0004767580452920143	8	16780
2010	0.00045525494276795007	7	15376
2011	0.0002723311546840959	4	14688
2012	0.0004793576607346156	8	16689
2013	0.00046882325363338024	9	19197
