year	portion	word_count	total_count
1945	0.0036231884057971015	1	276
1946	0.002642007926023778	4	1514
1947	0.004229607250755287	7	1655
1948	0.001488095238095238	3	2016
1949	0.0007993605115907274	2	2502
1950	0.000721240533717995	2	2773
1951	0.0021314387211367673	6	2815
1952	0.0017158544955387784	5	2914
1953	0.0013188262446422684	4	3033
1954	0.00184218606079214	6	3257
1955	0.0018172377985462098	7	3852
1956	0.0020849622100599426	8	3837
1957	0.0015629070070330815	6	3839
1958	0.002674511901577962	10	3739
1959	0.00235910878112713	9	3815
1960	0.0026490066225165563	10	3775
1961	0.0031724450487196918	14	4413
1962	0.0031197504199664025	13	4167
1963	0.005018546803403884	23	4583
1964	0.004404404404404405	22	4995
1965	0.0029822926374650513	16	5365
1966	0.003992740471869328	22	5510
1967	0.002837885775097552	16	5638
1968	0.0036776997659645604	22	5982
1969	0.004142216085605799	24	5794
1970	0.0036993442071632755	22	5947
1971	0.003594249201277955	18	5008
1972	0.0030739362562692122	19	6181
1973	0.004222972972972973	25	5920
1974	0.0036224976167778837	19	5245
1975	0.002215508559919436	11	4965
1976	0.0036957790313168646	19	5141
1977	0.0035191702167067978	19	5399
1978	0.0023512389220473866	13	5529
1979	0.003788596325061565	20	5279
1980	0.004981549815498155	27	5420
1981	0.00562957402889848	30	5329
1982	0.004324121075390111	23	5319
1983	0.003216650898770104	17	5285
1984	0.006198347107438017	33	5324
1985	0.0059492563429571306	34	5715
1986	0.005784805244890089	30	5186
1987	0.005851161089778753	32	5469
1988	0.004902850917014708	27	5507
1989	0.004707112970711297	27	5736
1990	0.0043859649122807015	25	5700
1991	0.00407401120353081	24	5891
1992	0.0033456005352960855	20	5978
1993	0.005370028528276557	32	5959
1994	0.004644219605241333	28	6029
1995	0.004980544747081712	32	6425
1996	0.00454063871651279	30	6607
1997	0.002222633821077977	12	5399
1998	0.0033085194375516956	12	3627
1999	0.003395585738539898	24	7068
2000	0.0048638132295719845	40	8224
2001	0.004032838830476739	28	6943
2002	0.004793863854266539	25	5215
2003	0.005001389274798555	36	7198
2004	0.0046393295420532775	31	6682
2005	0.0035714285714285713	22	6160
2006	0.0023054755043227667	8	3470
2007	0.005240590757503573	11	2099
2008	0.0029644268774703555	33	11132
2009	0.0028605482717520858	48	16780
2010	0.0030567117585848075	47	15376
2011	0.003540305010893246	52	14688
2012	0.002516627718856732	42	16689
2013	0.0035943116111892483	69	19197
