year	portion	word_count	total_count
1945	0	0	276
1946	0.0006605019815059445	1	1514
1947	0.0018126888217522659	3	1655
1948	0.000496031746031746	1	2016
1949	0.0003996802557953637	1	2502
1950	0.000721240533717995	2	2773
1951	0.00035523978685612787	1	2815
1952	0.0006863417982155113	2	2914
1953	0	0	3033
1954	0.0006140620202640467	2	3257
1955	0.00025960539979231567	1	3852
1956	0.00026062027625749283	1	3837
1957	0	0	3839
1958	0	0	3739
1959	0.0005242463958060288	2	3815
1960	0	0	3775
1961	0.00045320643553138455	2	4413
1962	0.0007199424046076314	3	4167
1963	0.00196377918394065	9	4583
1964	0.0004004004004004004	2	4995
1965	0.0005591798695246971	3	5365
1966	0.0009074410163339383	5	5510
1967	0.001064207165661582	6	5638
1968	0.0006686726847208291	4	5982
1969	0.0012081463583016915	7	5794
1970	0	0	5947
1971	0.00039936102236421724	2	5008
1972	0.000970716712506067	6	6181
1973	0.0011824324324324325	7	5920
1974	0.0007626310772163965	4	5245
1975	0.0014098690835850957	7	4965
1976	0.0021396615444466056	11	5141
1977	0.0016669753658084831	9	5399
1978	0.0019895098571170193	11	5529
1979	0.0017048683462777042	9	5279
1980	0.0007380073800738007	4	5420
1981	0.0013135672734096453	7	5329
1982	0.0009400263207369807	5	5319
1983	0.0011352885525070956	6	5285
1984	0.001314800901577761	7	5324
1985	0.0008748906386701663	5	5715
1986	0.0011569610489780178	6	5186
1987	0.0014627902724446882	8	5469
1988	0.0019974577810059923	11	5507
1989	0.002789400278940028	16	5736
1990	0.0015789473684210526	9	5700
1991	0.0006790018672551349	4	5891
1992	0.0016728002676480427	10	5978
1993	0.0008390669575432119	5	5959
1994	0.001658649859014762	10	6029
1995	0.000933852140077821	6	6425
1996	0.0015135462388375966	10	6607
1997	0.0012965363956288201	7	5399
1998	0.0005514199062586159	2	3627
1999	0.0012733446519524619	9	7068
2000	0.0017023346303501946	14	8224
2001	0.001152239665850497	8	6943
2002	0.0017257909875359539	9	5215
2003	0.0006946373992775772	5	7198
2004	0.00074827895839569	5	6682
2005	0.001948051948051948	12	6160
2006	0.00028818443804034583	1	3470
2007	0.0019056693663649356	4	2099
2008	0.0007186489399928135	8	11132
2009	0.0005363528009535161	9	16780
2010	0.0005853277835587929	9	15376
2011	0.00034041394335511985	5	14688
2012	0.0005991970759182695	10	16689
2013	0.0006771891441371047	13	19197
