year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0.000496031746031746	1	2016
1949	0	0	2502
1950	0.0003606202668589975	1	2773
1951	0.0007104795737122557	2	2815
1952	0.00034317089910775565	1	2914
1953	0.0003297065611605671	1	3033
1954	0	0	3257
1955	0.00025960539979231567	1	3852
1956	0.00026062027625749283	1	3837
1957	0.00026048450117218026	1	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0.0015862225243598459	7	4413
1962	0	0	4167
1963	0.0006545930613135501	3	4583
1964	0.004604604604604604	23	4995
1965	0.002423112767940354	13	5365
1966	0.0014519056261343012	8	5510
1967	0.0008868393047179851	5	5638
1968	0.0006686726847208291	4	5982
1969	0.0005177770107007249	3	5794
1970	0.0015133680847486128	9	5947
1971	0.0023961661341853034	12	5008
1972	0.004853583562530335	30	6181
1973	0.002195945945945946	13	5920
1974	0.001525262154432793	8	5245
1975	0.002416918429003021	12	4965
1976	0.002334176230305388	12	5141
1977	0.0025930727912576402	14	5399
1978	0.0005425935973955507	3	5529
1979	0.0013260087137715476	7	5279
1980	0.0018450184501845018	10	5420
1981	0.0013135672734096453	7	5329
1982	0.001504042113179169	8	5319
1983	0.0024597918637653737	13	5285
1984	0.0009391435011269722	5	5324
1985	0.0017497812773403325	10	5715
1986	0.0023139220979560356	12	5186
1987	0.0014627902724446882	8	5469
1988	0.0018158707100054477	10	5507
1989	0.0010460251046025104	6	5736
1990	0.0008771929824561404	5	5700
1991	0.001188253267696486	7	5891
1992	0.0005018400802944129	3	5978
1993	0.0008390669575432119	5	5959
1994	0.0011610549013103333	7	6029
1995	0.000933852140077821	6	6425
1996	0.0004540638716512789	3	6607
1997	0.0007408779403593258	4	5399
1998	0.00027570995312930797	1	3627
1999	0.0008488964346349745	6	7068
2000	0.0013375486381322957	11	8224
2001	0.001296269624081809	9	6943
2002	0.0007670182166826462	4	5215
2003	0.0004167824395665463	3	7198
2004	0.000299311583358276	2	6682
2005	0.0006493506493506494	4	6160
2006	0	0	3470
2007	0.0009528346831824678	2	2099
2008	0.0004491555874955084	5	11132
2009	0.0007747318235995233	13	16780
2010	0.0015608740894901144	24	15376
2011	0.0010212418300653595	15	14688
2012	0.0005991970759182695	10	16689
2013	0.0003125488357555868	6	19197
