year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0.000496031746031746	1	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0.0013726835964310226	4	2914
1953	0	0	3033
1954	0.0006140620202640467	2	3257
1955	0.000778816199376947	3	3852
1956	0.001563721657544957	6	3837
1957	0.0007814535035165407	3	3839
1958	0.0010698047606311847	4	3739
1959	0.0015727391874180866	6	3815
1960	0.0010596026490066225	4	3775
1961	0.0006798096532970768	3	4413
1962	0.00023998080153587713	1	4167
1963	0.0010909884355225835	5	4583
1964	0.0012012012012012011	6	4995
1965	0.0007455731593662628	4	5365
1966	0.000544464609800363	3	5510
1967	0.0017736786094359701	10	5638
1968	0.0006686726847208291	4	5982
1969	0.0018985157059026579	11	5794
1970	0.0015133680847486128	9	5947
1971	0.0011980830670926517	6	5008
1972	0.0014560750687591004	9	6181
1973	0.0008445945945945946	5	5920
1974	0.0007626310772163965	4	5245
1975	0.0012084592145015106	6	4965
1976	0.001167088115152694	6	5141
1977	0.0011113169105389886	6	5399
1978	0.0016277807921866521	9	5529
1979	0.0017048683462777042	9	5279
1980	0.0012915129151291514	7	5420
1981	0.001688872208669544	9	5329
1982	0.001504042113179169	8	5319
1983	0.0007568590350047304	4	5285
1984	0.0015026296018031556	8	5324
1985	0.002274715660542432	13	5715
1986	0.001349787890474354	7	5186
1987	0.002011336624611446	11	5469
1988	0.001452696568004358	8	5507
1989	0.0015690376569037657	9	5736
1990	0.0007017543859649122	4	5700
1991	0.0010185028008827025	6	5891
1992	0.0010036801605888257	6	5978
1993	0.0013425071320691392	8	5959
1994	0.0018245148449162383	11	6029
1995	0.000311284046692607	2	6425
1996	0.00015135462388375965	1	6607
1997	0.0007408779403593258	4	5399
1998	0.00027570995312930797	1	3627
1999	0.0009903791737408036	7	7068
2000	0.002188715953307393	18	8224
2001	0.0020164194152383695	14	6943
2002	0.0007670182166826462	4	5215
2003	0.0013892747985551543	10	7198
2004	0.0010475905417539658	7	6682
2005	0.0012987012987012987	8	6160
2006	0.0037463976945244955	13	3470
2007	0.0023820867079561697	5	2099
2008	0.0005389867049946101	6	11132
2009	0.0002979737783075089	5	16780
2010	0.0006503642039542144	10	15376
2011	0.0006808278867102397	10	14688
2012	0.0007789561986937504	13	16689
2013	0.0005730061988852425	11	19197
