year	portion	word_count	total_count
1945	0.0036231884057971015	1	276
1946	0	0	1514
1947	0.0012084592145015106	2	1655
1948	0	0	2016
1949	0.0015987210231814548	4	2502
1950	0.0003606202668589975	1	2773
1951	0.0010657193605683837	3	2815
1952	0.00034317089910775565	1	2914
1953	0.0003297065611605671	1	3033
1954	0.00030703101013202335	1	3257
1955	0.00025960539979231567	1	3852
1956	0.0005212405525149857	2	3837
1957	0.00026048450117218026	1	3839
1958	0	0	3739
1959	0.0002621231979030144	1	3815
1960	0.0005298013245033113	2	3775
1961	0.00045320643553138455	2	4413
1962	0.00047996160307175426	2	4167
1963	0.0004363953742090334	2	4583
1964	0.0004004004004004004	2	4995
1965	0.00130475302889096	7	5365
1966	0.0003629764065335753	2	5510
1967	0.000177367860943597	1	5638
1968	0.0006686726847208291	4	5982
1969	0.0008629616845012082	5	5794
1970	0.0005044560282495376	3	5947
1971	0.00019968051118210862	1	5008
1972	0.0006471444750040447	4	6181
1973	0.0011824324324324325	7	5920
1974	0.00038131553860819826	2	5245
1975	0.0008056394763343404	4	4965
1976	0.000583544057576347	3	5141
1977	0.0005556584552694943	3	5399
1978	0.00018086453246518358	1	5529
1979	0.00018942981625307822	1	5279
1980	0.00036900369003690036	2	5420
1981	0.0003753049352598987	2	5329
1982	0.00018800526414739614	1	5319
1983	0.0001892147587511826	1	5285
1984	0.0011269722013523666	6	5324
1985	0.0005249343832020997	3	5715
1986	0.0003856536829926726	2	5186
1987	0.0007313951362223441	4	5469
1988	0.0016342836390049029	9	5507
1989	0.0005230125523012552	3	5736
1990	0.0005263157894736842	3	5700
1991	0.00033950093362756747	2	5891
1992	0.00016728002676480428	1	5978
1993	0.0003356267830172848	2	5959
1994	0.0006634599436059048	4	6029
1995	0	0	6425
1996	0.0006054184955350386	4	6607
1997	0.00018521948508983145	1	5399
1998	0	0	3627
1999	0.0002829654782116582	2	7068
2000	0.00024319066147859923	2	8224
2001	0	0	6943
2002	0.0003835091083413231	2	5215
2003	0.0001389274798555154	1	7198
2004	0.000149655791679138	1	6682
2005	0.00016233766233766234	1	6160
2006	0	0	3470
2007	0	0	2099
2008	0.00008983111749910169	1	11132
2009	0.00011918951132300358	2	16780
2010	0.0001951092611862643	3	15376
2011	0.00006808278867102397	1	14688
2012	0.0002396788303673078	4	16689
2013	0.00010418294525186227	2	19197
