year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0	0	5245
1975	0	0	4965
1976	0	0	5141
1977	0	0	5399
1978	0	0	5529
1979	0	0	5279
1980	0	0	5420
1981	0.00018765246762994934	1	5329
1982	0	0	5319
1983	0	0	5285
1984	0	0	5324
1985	0	0	5715
1986	0	0	5186
1987	0	0	5469
1988	0	0	5507
1989	0.00017433751743375174	1	5736
1990	0	0	5700
1991	0.00033950093362756747	2	5891
1992	0.00016728002676480428	1	5978
1993	0.0010068803490518544	6	5959
1994	0.0003317299718029524	2	6029
1995	0.0007782101167315176	5	6425
1996	0.00015135462388375965	1	6607
1997	0.0012965363956288201	7	5399
1998	0.0005514199062586159	2	3627
1999	0.0007074136955291454	5	7068
2000	0.0014591439688715954	12	8224
2001	0.0020164194152383695	14	6943
2002	0.0028763183125599234	15	5215
2003	0.004445679355376493	32	7198
2004	0.0046393295420532775	31	6682
2005	0.006493506493506494	40	6160
2006	0.006340057636887608	22	3470
2007	0.004764173415912339	10	2099
2008	0.002874595759971254	32	11132
2009	0.0033373063170441	56	16780
2010	0.0036420395421436005	56	15376
2011	0.0031318082788671024	46	14688
2012	0.0038947809934687517	65	16689
2013	0.00322967130280773	62	19197
