year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0.00030703101013202335	1	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0.0008868393047179851	5	5638
1968	0.0006686726847208291	4	5982
1969	0.00034518467380048324	2	5794
1970	0.00033630401883302503	2	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0	0	5245
1975	0.0002014098690835851	1	4965
1976	0	0	5141
1977	0.00018521948508983145	1	5399
1978	0	0	5529
1979	0	0	5279
1980	0	0	5420
1981	0	0	5329
1982	0	0	5319
1983	0.0001892147587511826	1	5285
1984	0.0003756574004507889	2	5324
1985	0	0	5715
1986	0.0001928268414963363	1	5186
1987	0.00018284878405558602	1	5469
1988	0.0012711094970038134	7	5507
1989	0.0012203626220362621	7	5736
1990	0.0007017543859649122	4	5700
1991	0.0013580037345102699	8	5891
1992	0.0020073603211776514	12	5978
1993	0.0023493874811209934	14	5959
1994	0.0029855697462265714	18	6029
1995	0.0038910505836575876	25	6425
1996	0.0031784471015589527	21	6607
1997	0.0018521948508983144	10	5399
1998	0.0011028398125172319	4	3627
1999	0.0018392756083757782	13	7068
2000	0.0026750972762645915	22	8224
2001	0.002304479331700994	16	6943
2002	0.003835091083413231	20	5215
2003	0.003612114476243401	26	7198
2004	0.00299311583358276	20	6682
2005	0.004383116883116883	27	6160
2006	0.0037463976945244955	13	3470
2007	0.009528346831824679	20	2099
2008	0.002335609054976644	26	11132
2009	0.0013110846245530394	22	16780
2010	0.0013657648283038502	21	15376
2011	0.0026552287581699347	39	14688
2012	0.0016178321049793278	27	16689
2013	0.001562744178777934	30	19197
