year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0.0003996802557953637	1	2502
1950	0.0003606202668589975	1	2773
1951	0.0010657193605683837	3	2815
1952	0.001029512697323267	3	2914
1953	0.0003297065611605671	1	3033
1954	0.0006140620202640467	2	3257
1955	0.00025960539979231567	1	3852
1956	0.0005212405525149857	2	3837
1957	0	0	3839
1958	0	0	3739
1959	0.0002621231979030144	1	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0.0002181976871045167	1	4583
1964	0.0002002002002002002	1	4995
1965	0.0001863932898415657	1	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0.00038131553860819826	2	5245
1975	0	0	4965
1976	0	0	5141
1977	0	0	5399
1978	0	0	5529
1979	0	0	5279
1980	0	0	5420
1981	0	0	5329
1982	0	0	5319
1983	0.0001892147587511826	1	5285
1984	0	0	5324
1985	0.00017497812773403323	1	5715
1986	0.0001928268414963363	1	5186
1987	0	0	5469
1988	0.0003631741420010895	2	5507
1989	0.0003486750348675035	2	5736
1990	0.0005263157894736842	3	5700
1991	0.00033950093362756747	2	5891
1992	0.0006691201070592171	4	5978
1993	0.0005034401745259272	3	5959
1994	0.0006634599436059048	4	6029
1995	0.001867704280155642	12	6425
1996	0.0015135462388375966	10	6607
1997	0.0012965363956288201	7	5399
1998	0.0008271298593879239	3	3627
1999	0.0009903791737408036	7	7068
2000	0.0007295719844357977	6	8224
2001	0.001440299582313121	10	6943
2002	0.0005752636625119846	3	5215
2003	0.0006946373992775772	5	7198
2004	0.000598623166716552	4	6682
2005	0.000487012987012987	3	6160
2006	0.0025936599423631124	9	3470
2007	0.0028585040495474035	6	2099
2008	0.00008983111749910169	1	11132
2009	0.0005363528009535161	9	16780
2010	0.0005853277835587929	9	15376
2011	0.0002723311546840959	4	14688
2012	0.0004793576607346156	8	16689
2013	0.00020836589050372454	4	19197
