year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0.0030211480362537764	5	1655
1948	0.000496031746031746	1	2016
1949	0.0003996802557953637	1	2502
1950	0.0003606202668589975	1	2773
1951	0.0010657193605683837	3	2815
1952	0.0006863417982155113	2	2914
1953	0.0009891196834817012	3	3033
1954	0.00030703101013202335	1	3257
1955	0.0010384215991692627	4	3852
1956	0.0007818608287724785	3	3837
1957	0	0	3839
1958	0.0002674511901577962	1	3739
1959	0.0002621231979030144	1	3815
1960	0.0005298013245033113	2	3775
1961	0.0006798096532970768	3	4413
1962	0.0007199424046076314	3	4167
1963	0.0010909884355225835	5	4583
1964	0.0006006006006006006	3	4995
1965	0.0007455731593662628	4	5365
1966	0.0018148820326678765	10	5510
1967	0.001064207165661582	6	5638
1968	0.001170177198261451	7	5982
1969	0.0005177770107007249	3	5794
1970	0.0008407600470825626	5	5947
1971	0.0011980830670926517	6	5008
1972	0.0008089305937550558	5	6181
1973	0.0008445945945945946	5	5920
1974	0.001525262154432793	8	5245
1975	0.0012084592145015106	6	4965
1976	0.0013616028010114763	7	5141
1977	0.0009260974254491572	5	5399
1978	0.00036172906493036716	2	5529
1979	0.0007577192650123129	4	5279
1980	0.0005535055350553505	3	5420
1981	0.001688872208669544	9	5329
1982	0.001504042113179169	8	5319
1983	0.0011352885525070956	6	5285
1984	0.0016904583020285499	9	5324
1985	0.0024496937882764656	14	5715
1986	0.001349787890474354	7	5186
1987	0.0025598829767782046	14	5469
1988	0.0009079353550027238	5	5507
1989	0.0015690376569037657	9	5736
1990	0.0007017543859649122	4	5700
1991	0.0010185028008827025	6	5891
1992	0.0016728002676480427	10	5978
1993	0.0016781339150864238	10	5959
1994	0.0009951899154088573	6	6029
1995	0.0017120622568093384	11	6425
1996	0.0016649008627213561	11	6607
1997	0.0007408779403593258	4	5399
1998	0.0013785497656465398	5	3627
1999	0.0007074136955291454	5	7068
2000	0.0012159533073929961	10	8224
2001	0.001152239665850497	8	6943
2002	0.0017257909875359539	9	5215
2003	0.0012503473186996387	9	7198
2004	0.0008979347500748278	6	6682
2005	0.0006493506493506494	4	6160
2006	0.0008645533141210375	3	3470
2007	0.0014292520247737017	3	2099
2008	0.0007186489399928135	8	11132
2009	0.0008939213349225268	15	16780
2010	0.0014308012486992717	22	15376
2011	0.0012935729847494554	19	14688
2012	0.0014380729822038468	24	16689
2013	0.001979475959785383	38	19197
