year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0.0003606202668589975	1	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0.00030703101013202335	1	3257
1955	0.0005192107995846313	2	3852
1956	0	0	3837
1957	0.0005209690023443605	2	3839
1958	0.0008023535704733886	3	3739
1959	0	0	3815
1960	0	0	3775
1961	0.00045320643553138455	2	4413
1962	0.00167986561075114	7	4167
1963	0.0004363953742090334	2	4583
1964	0.0004004004004004004	2	4995
1965	0.0001863932898415657	1	5365
1966	0	0	5510
1967	0.000177367860943597	1	5638
1968	0.00016716817118020728	1	5982
1969	0.0010355540214014498	6	5794
1970	0.0006726080376660501	4	5947
1971	0	0	5008
1972	0.000970716712506067	6	6181
1973	0.0006756756756756757	4	5920
1974	0.00019065776930409913	1	5245
1975	0.0008056394763343404	4	4965
1976	0.000583544057576347	3	5141
1977	0.0009260974254491572	5	5399
1978	0.0018086453246518358	10	5529
1979	0.0005682894487592347	3	5279
1980	0.0005535055350553505	3	5420
1981	0.0007506098705197974	4	5329
1982	0.0009400263207369807	5	5319
1983	0.000946073793755913	5	5285
1984	0.0018782870022539444	10	5324
1985	0.0010498687664041995	6	5715
1986	0.0015426147319706903	8	5186
1987	0.0018284878405558603	10	5469
1988	0.0009079353550027238	5	5507
1989	0.0015690376569037657	9	5736
1990	0.0014035087719298245	8	5700
1991	0.0008487523340689187	5	5891
1992	0.0018400802944128472	11	5978
1993	0.0011746937405604967	7	5959
1994	0.000829324929507381	5	6029
1995	0.0007782101167315176	5	6425
1996	0.0004540638716512789	3	6607
1997	0.0007408779403593258	4	5399
1998	0.00027570995312930797	1	3627
1999	0.0008488964346349745	6	7068
2000	0.0008511673151750973	7	8224
2001	0.001296269624081809	9	6943
2002	0.0015340364333652923	8	5215
2003	0.0013892747985551543	10	7198
2004	0.0010475905417539658	7	6682
2005	0.0011363636363636363	7	6160
2006	0.0008645533141210375	3	3470
2007	0.0004764173415912339	1	2099
2008	0.0005389867049946101	6	11132
2009	0.0007151370679380214	12	16780
2010	0.0006503642039542144	10	15376
2011	0.001906318082788671	28	14688
2012	0.001198394151836539	20	16689
2013	0.0008855550346408293	17	19197
