year	portion	word_count	total_count
1945	0.014492753623188406	4	276
1946	0.0059445178335535	9	1514
1947	0.005438066465256798	9	1655
1948	0.008928571428571428	18	2016
1949	0.005995203836930456	15	2502
1950	0.00288496213487198	8	2773
1951	0.004262877442273535	12	2815
1952	0.008236101578586136	24	2914
1953	0.008902077151335312	27	3033
1954	0.00644765121277249	21	3257
1955	0.009086188992731049	35	3852
1956	0.006254886630179828	24	3837
1957	0.008335504037509768	32	3839
1958	0.008290986894891682	31	3739
1959	0.00891218872870249	34	3815
1960	0.005298013245033113	20	3775
1961	0.012009970541581691	53	4413
1962	0.010559155267578594	44	4167
1963	0.011564477416539385	53	4583
1964	0.01121121121121121	56	4995
1965	0.011183597390493943	60	5365
1966	0.011796733212341199	65	5510
1967	0.015076268180205746	85	5638
1968	0.01487796723503845	89	5982
1969	0.01725923369002416	100	5794
1970	0.011098032621489827	66	5947
1971	0.013378594249201278	67	5008
1972	0.014884322925093027	92	6181
1973	0.014358108108108109	85	5920
1974	0.01830314585319352	96	5245
1975	0.017119838872104734	85	4965
1976	0.01808986578486676	93	5141
1977	0.017595851083533988	95	5399
1978	0.019533369506239826	108	5529
1979	0.017427543095283198	92	5279
1980	0.01918819188191882	104	5420
1981	0.018952899230624883	101	5329
1982	0.017296484301560444	92	5319
1983	0.018543046357615896	98	5285
1984	0.015026296018031555	80	5324
1985	0.018722659667541556	107	5715
1986	0.02082529888160432	108	5186
1987	0.01883342475772536	103	5469
1988	0.026148538224078446	144	5507
1989	0.02388423988842399	137	5736
1990	0.025964912280701753	148	5700
1991	0.022916313019860805	135	5891
1992	0.01906992305118769	114	5978
1993	0.020808860547071657	124	5959
1994	0.018576878420965334	112	6029
1995	0.015719844357976652	101	6425
1996	0.014378689268957167	95	6607
1997	0.015928875717725506	86	5399
1998	0.012682657843948167	46	3627
1999	0.010752688172043012	76	7068
2000	0.012159533073929961	100	8224
2001	0.015987325363675645	111	6943
2002	0.016490891658676895	86	5215
2003	0.013614893025840511	98	7198
2004	0.013020053876085005	87	6682
2005	0.009902597402597402	61	6160
2006	0.010662824207492795	37	3470
2007	0.014768937589328252	31	2099
2008	0.011139058569888609	124	11132
2009	0.01102502979737783	185	16780
2010	0.012486992715920915	192	15376
2011	0.013139978213507625	193	14688
2012	0.011384744442447121	190	16689
2013	0.010262020107308433	197	19197
