year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0.00019968051118210862	1	5008
1972	0.00016178611875101117	1	6181
1973	0	0	5920
1974	0	0	5245
1975	0	0	4965
1976	0.00019451468585878233	1	5141
1977	0	0	5399
1978	0.00018086453246518358	1	5529
1979	0.0013260087137715476	7	5279
1980	0.00018450184501845018	1	5420
1981	0	0	5329
1982	0	0	5319
1983	0	0	5285
1984	0.00018782870022539445	1	5324
1985	0	0	5715
1986	0	0	5186
1987	0.00036569756811117204	2	5469
1988	0.00018158707100054475	1	5507
1989	0.0005230125523012552	3	5736
1990	0.0012280701754385965	7	5700
1991	0.00033950093362756747	2	5891
1992	0.00033456005352960856	2	5978
1993	0.0008390669575432119	5	5959
1994	0.000829324929507381	5	6029
1995	0.0010894941634241246	7	6425
1996	0.0033298017254427123	22	6607
1997	0.0014817558807186516	8	5399
1998	0.0011028398125172319	4	3627
1999	0.00042444821731748726	3	7068
2000	0.0008511673151750973	7	8224
2001	0.00043208987469393634	3	6943
2002	0.0003835091083413231	2	5215
2003	0.0005557099194220616	4	7198
2004	0.0004489673750374139	3	6682
2005	0.0003246753246753247	2	6160
2006	0.0005763688760806917	2	3470
2007	0.0019056693663649356	4	2099
2008	0.0005389867049946101	6	11132
2009	0.0004767580452920143	8	16780
2010	0.0009105098855359001	14	15376
2011	0.0006808278867102397	10	14688
2012	0.0004793576607346156	8	16689
2013	0.00036464030838151797	7	19197
