year	portion	word_count	total_count
1945	0.0036231884057971015	1	276
1946	0	0	1514
1947	0	0	1655
1948	0.000496031746031746	1	2016
1949	0	0	2502
1950	0	0	2773
1951	0.00035523978685612787	1	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0.00025960539979231567	1	3852
1956	0	0	3837
1957	0.0005209690023443605	2	3839
1958	0.0002674511901577962	1	3739
1959	0	0	3815
1960	0.0007947019867549669	3	3775
1961	0.00045320643553138455	2	4413
1962	0.0014398848092152627	6	4167
1963	0.0002181976871045167	1	4583
1964	0.0016016016016016017	8	4995
1965	0.00130475302889096	7	5365
1966	0.000544464609800363	3	5510
1967	0.000532103582830791	3	5638
1968	0.0006686726847208291	4	5982
1969	0.00034518467380048324	2	5794
1970	0.0008407600470825626	5	5947
1971	0.00039936102236421724	2	5008
1972	0.000970716712506067	6	6181
1973	0.00033783783783783786	2	5920
1974	0.0007626310772163965	4	5245
1975	0	0	4965
1976	0.0009725734292939117	5	5141
1977	0.0003704389701796629	2	5399
1978	0.00036172906493036716	2	5529
1979	0.0005682894487592347	3	5279
1980	0.0005535055350553505	3	5420
1981	0.0003753049352598987	2	5329
1982	0.00018800526414739614	1	5319
1983	0.0003784295175023652	2	5285
1984	0.0003756574004507889	2	5324
1985	0.00034995625546806647	2	5715
1986	0.0005784805244890089	3	5186
1987	0.0005485463521667581	3	5469
1988	0.000726348284002179	4	5507
1989	0.000697350069735007	4	5736
1990	0.00017543859649122806	1	5700
1991	0.00033950093362756747	2	5891
1992	0.0005018400802944129	3	5978
1993	0.0003356267830172848	2	5959
1994	0.0004975949577044286	3	6029
1995	0.0001556420233463035	1	6425
1996	0.00015135462388375965	1	6607
1997	0.0003704389701796629	2	5399
1998	0	0	3627
1999	0.0002829654782116582	2	7068
2000	0	0	8224
2001	0.00028805991646262423	2	6943
2002	0	0	5215
2003	0.0001389274798555154	1	7198
2004	0.000149655791679138	1	6682
2005	0	0	6160
2006	0	0	3470
2007	0	0	2099
2008	0.00017966223499820338	2	11132
2009	0.0002979737783075089	5	16780
2010	0.00013007284079084288	2	15376
2011	0.0002723311546840959	4	14688
2012	0.00017975912277548085	3	16689
2013	0.000052091472625931135	1	19197
