year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0.00018148820326678765	1	5510
1967	0	0	5638
1968	0	0	5982
1969	0.00034518467380048324	2	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0	0	5245
1975	0.0004028197381671702	2	4965
1976	0.00038902937171756465	2	5141
1977	0	0	5399
1978	0.00018086453246518358	1	5529
1979	0.00037885963250615644	2	5279
1980	0.00018450184501845018	1	5420
1981	0.0003753049352598987	2	5329
1982	0.00018800526414739614	1	5319
1983	0.0003784295175023652	2	5285
1984	0.0003756574004507889	2	5324
1985	0.00017497812773403323	1	5715
1986	0.0003856536829926726	2	5186
1987	0.0005485463521667581	3	5469
1988	0.0009079353550027238	5	5507
1989	0	0	5736
1990	0.00017543859649122806	1	5700
1991	0.00016975046681378373	1	5891
1992	0.00016728002676480428	1	5978
1993	0.0005034401745259272	3	5959
1994	0.0004975949577044286	3	6029
1995	0.0001556420233463035	1	6425
1996	0.0007567731194187983	5	6607
1997	0	0	5399
1998	0.00027570995312930797	1	3627
1999	0.0002829654782116582	2	7068
2000	0.00024319066147859923	2	8224
2001	0.0010082097076191847	7	6943
2002	0.0005752636625119846	3	5215
2003	0.0008335648791330926	6	7198
2004	0.0004489673750374139	3	6682
2005	0.000487012987012987	3	6160
2006	0.0005763688760806917	2	3470
2007	0.0014292520247737017	3	2099
2008	0.0005389867049946101	6	11132
2009	0.0009535160905840286	16	16780
2010	0.0005202913631633715	8	15376
2011	0.00034041394335511985	5	14688
2012	0.0004793576607346156	8	16689
2013	0.0005730061988852425	11	19197
