year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0.00035523978685612787	1	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0.00026048450117218026	1	3839
1958	0.0002674511901577962	1	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0.00023998080153587713	1	4167
1963	0.0004363953742090334	2	4583
1964	0.0002002002002002002	1	4995
1965	0	0	5365
1966	0.000544464609800363	3	5510
1967	0	0	5638
1968	0	0	5982
1969	0.0005177770107007249	3	5794
1970	0	0	5947
1971	0.00019968051118210862	1	5008
1972	0.00016178611875101117	1	6181
1973	0	0	5920
1974	0	0	5245
1975	0	0	4965
1976	0.00019451468585878233	1	5141
1977	0.00018521948508983145	1	5399
1978	0	0	5529
1979	0	0	5279
1980	0.00018450184501845018	1	5420
1981	0.00018765246762994934	1	5329
1982	0.00018800526414739614	1	5319
1983	0.0003784295175023652	2	5285
1984	0.00018782870022539445	1	5324
1985	0.0006999125109361329	4	5715
1986	0.0005784805244890089	3	5186
1987	0.00036569756811117204	2	5469
1988	0.0003631741420010895	2	5507
1989	0.000697350069735007	4	5736
1990	0.0003508771929824561	2	5700
1991	0.00033950093362756747	2	5891
1992	0.00033456005352960856	2	5978
1993	0.0003356267830172848	2	5959
1994	0.0004975949577044286	3	6029
1995	0.0001556420233463035	1	6425
1996	0	0	6607
1997	0.0003704389701796629	2	5399
1998	0	0	3627
1999	0.0001414827391058291	1	7068
2000	0.00036478599221789884	3	8224
2001	0.00043208987469393634	3	6943
2002	0.0007670182166826462	4	5215
2003	0.0006946373992775772	5	7198
2004	0.000299311583358276	2	6682
2005	0.000487012987012987	3	6160
2006	0	0	3470
2007	0	0	2099
2008	0.0008983111749910168	10	11132
2009	0.0007151370679380214	12	16780
2010	0.0009105098855359001	14	15376
2011	0.0011574074074074073	17	14688
2012	0.0011384744442447122	19	16689
2013	0.0007292806167630359	14	19197
