year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0.0018126888217522659	3	1655
1948	0.000496031746031746	1	2016
1949	0.0003996802557953637	1	2502
1950	0	0	2773
1951	0	0	2815
1952	0.00034317089910775565	1	2914
1953	0	0	3033
1954	0.00030703101013202335	1	3257
1955	0.00025960539979231567	1	3852
1956	0.00026062027625749283	1	3837
1957	0.00026048450117218026	1	3839
1958	0	0	3739
1959	0.0002621231979030144	1	3815
1960	0.00026490066225165563	1	3775
1961	0	0	4413
1962	0	0	4167
1963	0.0006545930613135501	3	4583
1964	0.0006006006006006006	3	4995
1965	0.0009319664492078285	5	5365
1966	0.0012704174228675136	7	5510
1967	0.0015963107484923732	9	5638
1968	0.0010030090270812437	6	5982
1969	0.0020711080428028996	12	5794
1970	0.0033630401883302506	20	5947
1971	0.0033945686900958465	17	5008
1972	0.003235722375020223	20	6181
1973	0.0028716216216216218	17	5920
1974	0.0034318398474737846	18	5245
1975	0.002014098690835851	10	4965
1976	0.0027232056020229526	14	5141
1977	0.0018521948508983144	10	5399
1978	0.0023512389220473866	13	5529
1979	0.0022731577950369387	12	5279
1980	0.0018450184501845018	10	5420
1981	0.0026271345468192905	14	5329
1982	0.0026320736980635457	14	5319
1983	0.0035950804162724692	19	5285
1984	0.0018782870022539444	10	5324
1985	0.0019247594050743656	11	5715
1986	0.002506748939452372	13	5186
1987	0.0029255805448893763	16	5469
1988	0.00381332849101144	21	5507
1989	0.0029637377963737796	17	5736
1990	0.0010526315789473684	6	5700
1991	0.0030555084026481073	18	5891
1992	0.0025092004014720644	15	5978
1993	0.0013425071320691392	8	5959
1994	0.0031514347321280477	19	6029
1995	0.004824902723735408	31	6425
1996	0.0024216739821401544	16	6607
1997	0.0029635117614373032	16	5399
1998	0.0030328094844223876	11	3627
1999	0.003254102999434069	23	7068
2000	0.005714980544747081	47	8224
2001	0.003744778914014115	26	6943
2002	0.004410354745925216	23	5215
2003	0.0037510419560989163	27	7198
2004	0.002394492666866208	16	6682
2005	0.004545454545454545	28	6160
2006	0.001729106628242075	6	3470
2007	0.004764173415912339	10	2099
2008	0.0021559468199784403	24	11132
2009	0.0017878426698450535	30	16780
2010	0.0029266389177939646	45	15376
2011	0.00360838779956427	53	14688
2012	0.002636467134040386	44	16689
2013	0.002708756576548419	52	19197
