year	portion	word_count	total_count
1945	0	0	276
1946	0.0006605019815059445	1	1514
1947	0.0018126888217522659	3	1655
1948	0.00248015873015873	5	2016
1949	0.002398081534772182	6	2502
1950	0.0018031013342949874	5	2773
1951	0.0007104795737122557	2	2815
1952	0.0017158544955387784	5	2914
1953	0.0016485328058028356	5	3033
1954	0.00276327909118821	9	3257
1955	0.0028556593977154725	11	3852
1956	0.003127443315089914	12	3837
1957	0.002083876009377442	8	3839
1958	0.0024070607114201658	9	3739
1959	0.0028833551769331584	11	3815
1960	0.003973509933774834	15	3775
1961	0.003399048266485384	15	4413
1962	0.0026397888168946484	11	4167
1963	0.007200523674449051	33	4583
1964	0.005805805805805806	29	4995
1965	0.01043802423112768	56	5365
1966	0.011070780399274047	61	5510
1967	0.012947853848882583	73	5638
1968	0.013373453694416584	80	5982
1969	0.017431826026924405	101	5794
1970	0.023541281318311753	140	5947
1971	0.015375399361022364	77	5008
1972	0.01116324219381977	69	6181
1973	0.014695945945945947	87	5920
1974	0.007816968541468065	41	5245
1975	0.012890231621349446	64	4965
1976	0.012837969266679634	66	5141
1977	0.008705315799222077	47	5399
1978	0.009043226623259178	50	5529
1979	0.011555218791437772	61	5279
1980	0.010701107011070111	58	5420
1981	0.012948020266466504	69	5329
1982	0.01015228426395939	54	5319
1983	0.010785241248817409	57	5285
1984	0.009954921111945906	53	5324
1985	0.011723534558180227	67	5715
1986	0.012533744697261859	65	5186
1987	0.019016273541780947	104	5469
1988	0.013437443254040312	74	5507
1989	0.014121338912133892	81	5736
1990	0.011052631578947368	63	5700
1991	0.01408928874554405	83	5891
1992	0.016560722649715625	99	5978
1993	0.016613525759355596	99	5959
1994	0.01658649859014762	100	6029
1995	0.015408560311284047	99	6425
1996	0.0180112002421674	119	6607
1997	0.016114095202815336	87	5399
1998	0.01764543700027571	64	3627
1999	0.01740237691001698	123	7068
2000	0.020549610894941634	169	8224
2001	0.019588074319458446	136	6943
2002	0.020325982742090125	106	5215
2003	0.01764378994165046	127	7198
2004	0.018407662376533972	123	6682
2005	0.018668831168831168	115	6160
2006	0.01585014409221902	55	3470
2007	0.023820867079561697	50	2099
2008	0.013115343154868847	146	11132
2009	0.012872467222884387	216	16780
2010	0.01404786680541103	216	15376
2011	0.015590958605664488	229	14688
2012	0.016178321049793276	270	16689
2013	0.01651299682242017	317	19197
