year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0.00022660321776569228	1	4413
1962	0.00023998080153587713	1	4167
1963	0.0008727907484180668	4	4583
1964	0.0004004004004004004	2	4995
1965	0.0007455731593662628	4	5365
1966	0.0003629764065335753	2	5510
1967	0.000532103582830791	3	5638
1968	0.001170177198261451	7	5982
1969	0.0010355540214014498	6	5794
1970	0.0010089120564990752	6	5947
1971	0.00039936102236421724	2	5008
1972	0.00032357223750202233	2	6181
1973	0.0005067567567567568	3	5920
1974	0.0007626310772163965	4	5245
1975	0.0006042296072507553	3	4965
1976	0.000583544057576347	3	5141
1977	0.00018521948508983145	1	5399
1978	0.0009043226623259179	5	5529
1979	0.0009471490812653912	5	5279
1980	0.00018450184501845018	1	5420
1981	0	0	5329
1982	0.0005640157924421884	3	5319
1983	0.0003784295175023652	2	5285
1984	0.0009391435011269722	5	5324
1985	0.0006999125109361329	4	5715
1986	0.0003856536829926726	2	5186
1987	0.0007313951362223441	4	5469
1988	0.0010895224260032686	6	5507
1989	0.000697350069735007	4	5736
1990	0.0005263157894736842	3	5700
1991	0.0006790018672551349	4	5891
1992	0.0010036801605888257	6	5978
1993	0.0011746937405604967	7	5959
1994	0.0003317299718029524	2	6029
1995	0.0014007782101167316	9	6425
1996	0.0004540638716512789	3	6607
1997	0.0009260974254491572	5	5399
1998	0.0008271298593879239	3	3627
1999	0.0001414827391058291	1	7068
2000	0.0006079766536964981	5	8224
2001	0.00014402995823131211	1	6943
2002	0.0003835091083413231	2	5215
2003	0.0002778549597110308	2	7198
2004	0.000149655791679138	1	6682
2005	0.000487012987012987	3	6160
2006	0.00028818443804034583	1	3470
2007	0	0	2099
2008	0.00026949335249730504	3	11132
2009	0.00023837902264600716	4	16780
2010	0.0001951092611862643	3	15376
2011	0.0002042483660130719	3	14688
2012	0.00017975912277548085	3	16689
2013	0.00010418294525186227	2	19197
