year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0.00025960539979231567	1	3852
1956	0	0	3837
1957	0	0	3839
1958	0.0010698047606311847	4	3739
1959	0	0	3815
1960	0	0	3775
1961	0.00045320643553138455	2	4413
1962	0.00023998080153587713	1	4167
1963	0.0008727907484180668	4	4583
1964	0.001001001001001001	5	4995
1965	0.00130475302889096	7	5365
1966	0.001088929219600726	6	5510
1967	0.0023057821922667612	13	5638
1968	0.0013373453694416582	8	5982
1969	0.003279254401104591	19	5794
1970	0.0023541281318311754	14	5947
1971	0.000998402555910543	5	5008
1972	0.001941433425012134	12	6181
1973	0.0008445945945945946	5	5920
1974	0.0005719733079122975	3	5245
1975	0.0006042296072507553	3	4965
1976	0.0009725734292939117	5	5141
1977	0.0009260974254491572	5	5399
1978	0.0007234581298607343	4	5529
1979	0.0005682894487592347	3	5279
1980	0.0009225092250922509	5	5420
1981	0.0013135672734096453	7	5329
1982	0.0005640157924421884	3	5319
1983	0.001892147587511826	10	5285
1984	0.0009391435011269722	5	5324
1985	0.0008748906386701663	5	5715
1986	0.001349787890474354	7	5186
1987	0.0009142439202779302	5	5469
1988	0.0016342836390049029	9	5507
1989	0.0003486750348675035	2	5736
1990	0.0012280701754385965	7	5700
1991	0.0013580037345102699	8	5891
1992	0.0021746403479424555	13	5978
1993	0.0018459473065950663	11	5959
1994	0.0011610549013103333	7	6029
1995	0.0026459143968871595	17	6425
1996	0.0024216739821401544	16	6607
1997	0.0035191702167067978	19	5399
1998	0.0022056796250344637	8	3627
1999	0.0038200339558573855	27	7068
2000	0.004620622568093385	38	8224
2001	0.003888808872245427	27	6943
2002	0.005177372962607862	27	5215
2003	0.004723534315087524	34	7198
2004	0.004938641125411553	33	6682
2005	0.002922077922077922	18	6160
2006	0.004322766570605188	15	3470
2007	0.008099094807050978	17	2099
2008	0.002335609054976644	26	11132
2009	0.003694874851013111	62	16780
2010	0.0035119667013527576	54	15376
2011	0.0027913943355119828	41	14688
2012	0.004733656899754329	79	16689
2013	0.0033338542480595926	64	19197
