year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0.000496031746031746	1	2016
1949	0	0	2502
1950	0.0003606202668589975	1	2773
1951	0.00035523978685612787	1	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0.00025960539979231567	1	3852
1956	0.00026062027625749283	1	3837
1957	0.00026048450117218026	1	3839
1958	0.0005349023803155924	2	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0.0002181976871045167	1	4583
1964	0.0002002002002002002	1	4995
1965	0.0007455731593662628	4	5365
1966	0.0009074410163339383	5	5510
1967	0	0	5638
1968	0.0005015045135406219	3	5982
1969	0.00017259233690024162	1	5794
1970	0.00033630401883302503	2	5947
1971	0	0	5008
1972	0.00016178611875101117	1	6181
1973	0.00016891891891891893	1	5920
1974	0	0	5245
1975	0.0002014098690835851	1	4965
1976	0	0	5141
1977	0	0	5399
1978	0.00018086453246518358	1	5529
1979	0.00018942981625307822	1	5279
1980	0.00036900369003690036	2	5420
1981	0	0	5329
1982	0.0005640157924421884	3	5319
1983	0.0003784295175023652	2	5285
1984	0.00018782870022539445	1	5324
1985	0.00017497812773403323	1	5715
1986	0.0001928268414963363	1	5186
1987	0	0	5469
1988	0.00018158707100054475	1	5507
1989	0.00017433751743375174	1	5736
1990	0.0003508771929824561	2	5700
1991	0.00016975046681378373	1	5891
1992	0.00033456005352960856	2	5978
1993	0.0001678133915086424	1	5959
1994	0.0001658649859014762	1	6029
1995	0.000311284046692607	2	6425
1996	0.0003027092477675193	2	6607
1997	0.0005556584552694943	3	5399
1998	0.00027570995312930797	1	3627
1999	0.0001414827391058291	1	7068
2000	0	0	8224
2001	0.00014402995823131211	1	6943
2002	0	0	5215
2003	0.000972492358988608	7	7198
2004	0.000149655791679138	1	6682
2005	0	0	6160
2006	0.00028818443804034583	1	3470
2007	0.0009528346831824678	2	2099
2008	0.00008983111749910169	1	11132
2009	0.00005959475566150179	1	16780
2010	0.00006503642039542144	1	15376
2011	0.0002042483660130719	3	14688
2012	0.00017975912277548085	3	16689
2013	0.00036464030838151797	7	19197
