year	portion	word_count	total_count
1945	0	0	276
1946	0.0006605019815059445	1	1514
1947	0.0006042296072507553	1	1655
1948	0.000496031746031746	1	2016
1949	0	0	2502
1950	0	0	2773
1951	0.00035523978685612787	1	2815
1952	0.001029512697323267	3	2914
1953	0.0009891196834817012	3	3033
1954	0	0	3257
1955	0.00025960539979231567	1	3852
1956	0	0	3837
1957	0.0007814535035165407	3	3839
1958	0.0005349023803155924	2	3739
1959	0.0010484927916120576	4	3815
1960	0.0013245033112582781	5	3775
1961	0.00022660321776569228	1	4413
1962	0.00047996160307175426	2	4167
1963	0.0010909884355225835	5	4583
1964	0	0	4995
1965	0.0007455731593662628	4	5365
1966	0.001088929219600726	6	5510
1967	0.000532103582830791	3	5638
1968	0.0008358408559010365	5	5982
1969	0.0005177770107007249	3	5794
1970	0.0010089120564990752	6	5947
1971	0.0007987220447284345	4	5008
1972	0.0004853583562530335	3	6181
1973	0.0006756756756756757	4	5920
1974	0.0005719733079122975	3	5245
1975	0.0002014098690835851	1	4965
1976	0.0007780587434351293	4	5141
1977	0.00018521948508983145	1	5399
1978	0.0007234581298607343	4	5529
1979	0.0013260087137715476	7	5279
1980	0.0009225092250922509	5	5420
1981	0.0009382623381497466	5	5329
1982	0.0007520210565895845	4	5319
1983	0.000946073793755913	5	5285
1984	0.0011269722013523666	6	5324
1985	0.0006999125109361329	4	5715
1986	0.0005784805244890089	3	5186
1987	0.0007313951362223441	4	5469
1988	0.0010895224260032686	6	5507
1989	0.0020920502092050207	12	5736
1990	0.0007017543859649122	4	5700
1991	0.0006790018672551349	4	5891
1992	0.0006691201070592171	4	5978
1993	0.0015103205235777815	9	5959
1994	0.0001658649859014762	1	6029
1995	0.0010894941634241246	7	6425
1996	0.0015135462388375966	10	6607
1997	0.0018521948508983144	10	5399
1998	0.0008271298593879239	3	3627
1999	0.0012733446519524619	9	7068
2000	0.0013375486381322957	11	8224
2001	0.0007201497911565605	5	6943
2002	0.0005752636625119846	3	5215
2003	0.0016671297582661851	12	7198
2004	0.000149655791679138	1	6682
2005	0.0012987012987012987	8	6160
2006	0	0	3470
2007	0.0004764173415912339	1	2099
2008	0.0005389867049946101	6	11132
2009	0.00017878426698450536	3	16780
2010	0.00026014568158168577	4	15376
2011	0.00006808278867102397	1	14688
2012	0.0005392773683264426	9	16689
2013	0.00036464030838151797	7	19197
