year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0.0002621231979030144	1	3815
1960	0	0	3775
1961	0	0	4413
1962	0.00023998080153587713	1	4167
1963	0.0002181976871045167	1	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0.000177367860943597	1	5638
1968	0	0	5982
1969	0	0	5794
1970	0.00016815200941651252	1	5947
1971	0.0005990415335463259	3	5008
1972	0	0	6181
1973	0.0005067567567567568	3	5920
1974	0.001143946615824595	6	5245
1975	0.0002014098690835851	1	4965
1976	0.001167088115152694	6	5141
1977	0.0018521948508983144	10	5399
1978	0.002170374389582203	12	5529
1979	0.0032203068763023298	17	5279
1980	0.0027675276752767526	15	5420
1981	0.00281478701444924	15	5329
1982	0.0018800526414739613	10	5319
1983	0.0035950804162724692	19	5285
1984	0.002629601803155522	14	5324
1985	0.0027996500437445318	16	5715
1986	0.002699575780948708	14	5186
1987	0.0038398244651673065	21	5469
1988	0.004539676775013619	25	5507
1989	0.003486750348675035	20	5736
1990	0.0059649122807017545	34	5700
1991	0.005941266338482431	35	5891
1992	0.00702576112412178	42	5978
1993	0.006041282094311126	36	5959
1994	0.005473544534748714	33	6029
1995	0.00575875486381323	37	6425
1996	0.00454063871651279	30	6607
1997	0.005741804037784775	31	5399
1998	0.0046870692031982355	17	3627
1999	0.006366723259762309	45	7068
2000	0.009727626459143969	80	8224
2001	0.008353737577416103	58	6943
2002	0.007094918504314478	37	5215
2003	0.007779938871908864	56	7198
2004	0.008979347500748278	60	6682
2005	0.007305194805194805	45	6160
2006	0.010662824207492795	37	3470
2007	0.007622677465459742	16	2099
2008	0.005569529284944304	62	11132
2009	0.007628128724672229	128	16780
2010	0.007219042663891779	111	15376
2011	0.008169934640522876	120	14688
2012	0.008268919647672119	138	16689
2013	0.00922019065478981	177	19197
