year	portion	word_count	total_count
1945	0	0	276
1946	0.0006605019815059445	1	1514
1947	0.002416918429003021	4	1655
1948	0	0	2016
1949	0.0003996802557953637	1	2502
1950	0	0	2773
1951	0.00035523978685612787	1	2815
1952	0.0006863417982155113	2	2914
1953	0.0003297065611605671	1	3033
1954	0.00030703101013202335	1	3257
1955	0.00025960539979231567	1	3852
1956	0	0	3837
1957	0	0	3839
1958	0.0002674511901577962	1	3739
1959	0.0005242463958060288	2	3815
1960	0.0005298013245033113	2	3775
1961	0.00022660321776569228	1	4413
1962	0.00047996160307175426	2	4167
1963	0.0006545930613135501	3	4583
1964	0.0008008008008008008	4	4995
1965	0.0003727865796831314	2	5365
1966	0	0	5510
1967	0.0008868393047179851	5	5638
1968	0.0020060180541624875	12	5982
1969	0.001380738695201933	8	5794
1970	0.0015133680847486128	9	5947
1971	0.0013977635782747603	7	5008
1972	0.001941433425012134	12	6181
1973	0.002195945945945946	13	5920
1974	0.0017159199237368923	9	5245
1975	0.002416918429003021	12	4965
1976	0.0019451468585878235	10	5141
1977	0.0024078533061678087	13	5399
1978	0.003436426116838488	19	5529
1979	0.003788596325061565	20	5279
1980	0.002214022140221402	12	5420
1981	0.0030024394820791895	16	5329
1982	0.0024440684339161497	13	5319
1983	0.0035950804162724692	19	5285
1984	0.0035687453042824945	19	5324
1985	0.0033245844269466315	19	5715
1986	0.0028924026224450444	15	5186
1987	0.004205522033278479	23	5469
1988	0.002723806065008171	15	5507
1989	0.0029637377963737796	17	5736
1990	0.0033333333333333335	19	5700
1991	0.00407401120353081	24	5891
1992	0.0031783205085312814	19	5978
1993	0.00352408122168149	21	5959
1994	0.0034831647039310003	21	6029
1995	0.004669260700389105	30	6425
1996	0.0024216739821401544	16	6607
1997	0.0048157066123356174	26	5399
1998	0.0022056796250344637	8	3627
1999	0.003537068477645727	25	7068
2000	0.005714980544747081	47	8224
2001	0.005761198329252484	40	6943
2002	0.0034515819750719078	18	5215
2003	0.004306751875520978	31	7198
2004	0.0062855432505237955	42	6682
2005	0.00551948051948052	34	6160
2006	0.005763688760806916	20	3470
2007	0.0028585040495474035	6	2099
2008	0.001976284584980237	22	11132
2009	0.0029201430274135875	49	16780
2010	0.004422476586888657	68	15376
2011	0.003540305010893246	52	14688
2012	0.0030559050871831746	51	16689
2013	0.0026566651039224877	51	19197
