year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0.00035523978685612787	1	2815
1952	0.00034317089910775565	1	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0.0005212405525149857	2	3837
1957	0.00026048450117218026	1	3839
1958	0	0	3739
1959	0	0	3815
1960	0.0013245033112582781	5	3775
1961	0.0013596193065941536	6	4413
1962	0.0009599232061435085	4	4167
1963	0.0002181976871045167	1	4583
1964	0.0012012012012012011	6	4995
1965	0.0007455731593662628	4	5365
1966	0.001633393829401089	9	5510
1967	0.001418942887548776	8	5638
1968	0.001170177198261451	7	5982
1969	0.0015533310321021747	9	5794
1970	0.0008407600470825626	5	5947
1971	0.000998402555910543	5	5008
1972	0.0011325028312570782	7	6181
1973	0.0015202702702702704	9	5920
1974	0.0009532888465204957	5	5245
1975	0.0006042296072507553	3	4965
1976	0.0013616028010114763	7	5141
1977	0.0014817558807186516	8	5399
1978	0.0010851871947911015	6	5529
1979	0.0005682894487592347	3	5279
1980	0.0016605166051660517	9	5420
1981	0.0013135672734096453	7	5329
1982	0.0007520210565895845	4	5319
1983	0.0017029328287606433	9	5285
1984	0.002066115702479339	11	5324
1985	0.0013998250218722659	8	5715
1986	0.0023139220979560356	12	5186
1987	0.004205522033278479	23	5469
1988	0.002905393136008716	16	5507
1989	0.0015690376569037657	9	5736
1990	0.002456140350877193	14	5700
1991	0.002037005601765405	12	5891
1992	0.0036801605888256944	22	5978
1993	0.0033562678301728476	20	5959
1994	0.00481008459114281	29	6029
1995	0.004669260700389105	30	6425
1996	0.004843347964280309	32	6607
1997	0.005000926097425449	27	5399
1998	0.0041356492969396195	15	3627
1999	0.005234861346915676	37	7068
2000	0.007295719844357977	60	8224
2001	0.007921647702722166	55	6943
2002	0.005560882070949185	29	5215
2003	0.005001389274798555	36	7198
2004	0.005537264292128106	37	6682
2005	0.005194805194805195	32	6160
2006	0.002881844380403458	10	3470
2007	0.0019056693663649356	4	2099
2008	0.001167804527488322	13	11132
2009	0.0019070321811680572	32	16780
2010	0.0024713839750260145	38	15376
2011	0.0027233115468409588	40	14688
2012	0.0016777518125711546	28	16689
2013	0.00322967130280773	62	19197
