year	portion	word_count	total_count
1945	0	0	276
1946	0.0006605019815059445	1	1514
1947	0	0	1655
1948	0.001488095238095238	3	2016
1949	0.0007993605115907274	2	2502
1950	0	0	2773
1951	0.0007104795737122557	2	2815
1952	0.0006863417982155113	2	2914
1953	0.003626772172766238	11	3033
1954	0.00092109303039607	3	3257
1955	0.001557632398753894	6	3852
1956	0.0013031013812874641	5	3837
1957	0.0005209690023443605	2	3839
1958	0.002674511901577962	10	3739
1959	0.001310615989515072	5	3815
1960	0.002119205298013245	8	3775
1961	0.0038522547020167688	17	4413
1962	0.005519558435325174	23	4167
1963	0.006109535238926467	28	4583
1964	0.004204204204204204	21	4995
1965	0.00521901211556384	28	5365
1966	0.006896551724137931	38	5510
1967	0.009755232351897836	55	5638
1968	0.007689735874289535	46	5982
1969	0.01173627890921643	68	5794
1970	0.01126618463090634	67	5947
1971	0.01437699680511182	72	5008
1972	0.015531467400097072	96	6181
1973	0.013682432432432433	81	5920
1974	0.016587225929456627	87	5245
1975	0.019536757301107755	97	4965
1976	0.016728262983855283	86	5141
1977	0.020003704389701796	108	5399
1978	0.020075963103635377	111	5529
1979	0.017806402727789356	94	5279
1980	0.015313653136531366	83	5420
1981	0.01707637455432539	91	5329
1982	0.016356457980823462	87	5319
1983	0.01684011352885525	89	5285
1984	0.0202854996243426	108	5324
1985	0.019247594050743656	110	5715
1986	0.015811801002699577	82	5186
1987	0.02267324922289267	124	5469
1988	0.017977120029053932	99	5507
1989	0.017956764295676428	103	5736
1990	0.01631578947368421	93	5700
1991	0.020200305550840264	119	5891
1992	0.021746403479424557	130	5978
1993	0.022151367679140794	132	5959
1994	0.020235528279980097	122	6029
1995	0.021478599221789883	138	6425
1996	0.01710307249886484	113	6607
1997	0.017040192628264495	92	5399
1998	0.01764543700027571	64	3627
1999	0.016694963214487834	118	7068
2000	0.01872568093385214	154	8224
2001	0.023044793317009937	160	6943
2002	0.016490891658676895	86	5215
2003	0.015420950263962212	111	7198
2004	0.01346902125112242	90	6682
2005	0.012824675324675325	79	6160
2006	0.016714697406340056	58	3470
2007	0.020009528346831826	42	2099
2008	0.009881422924901186	110	11132
2009	0.015554231227651967	261	16780
2010	0.014373048907388138	221	15376
2011	0.014365468409586057	211	14688
2012	0.016537839295344237	276	16689
2013	0.014325154972131063	275	19197
