year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0.00035523978685612787	1	2815
1952	0.00034317089910775565	1	2914
1953	0	0	3033
1954	0.00030703101013202335	1	3257
1955	0	0	3852
1956	0.00026062027625749283	1	3837
1957	0	0	3839
1958	0.0005349023803155924	2	3739
1959	0.0002621231979030144	1	3815
1960	0.00026490066225165563	1	3775
1961	0.0011330160888284614	5	4413
1962	0	0	4167
1963	0.0006545930613135501	3	4583
1964	0.001001001001001001	5	4995
1965	0.0007455731593662628	4	5365
1966	0.0003629764065335753	2	5510
1967	0.000709471443774388	4	5638
1968	0.0005015045135406219	3	5982
1969	0.0012081463583016915	7	5794
1970	0.0013452160753321001	8	5947
1971	0.001597444089456869	8	5008
1972	0.0011325028312570782	7	6181
1973	0.0013513513513513514	8	5920
1974	0.001334604385128694	7	5245
1975	0.0018126888217522659	9	4965
1976	0.001167088115152694	6	5141
1977	0.0012965363956288201	7	5399
1978	0.0023512389220473866	13	5529
1979	0.0017048683462777042	9	5279
1980	0.002029520295202952	11	5420
1981	0.002251829611559392	12	5329
1982	0.0013160368490317729	7	5319
1983	0.000946073793755913	5	5285
1984	0.0016904583020285499	9	5324
1985	0.0008748906386701663	5	5715
1986	0.0017354415734670266	9	5186
1987	0.0016456390565002743	9	5469
1988	0.001452696568004358	8	5507
1989	0.0024407252440725243	14	5736
1990	0.0007017543859649122	4	5700
1991	0.001867255134951621	11	5891
1992	0.00016728002676480428	1	5978
1993	0.0011746937405604967	7	5959
1994	0.0014927848731132857	9	6029
1995	0.0015564202334630351	10	6425
1996	0.0013621916149538368	9	6607
1997	0.0003704389701796629	2	5399
1998	0.0011028398125172319	4	3627
1999	0.0009903791737408036	7	7068
2000	0.0010943579766536965	9	8224
2001	0.0005761198329252485	4	6943
2002	0.0009587727708533077	5	5215
2003	0.0012503473186996387	9	7198
2004	0.000149655791679138	1	6682
2005	0.0006493506493506494	4	6160
2006	0.0008645533141210375	3	3470
2007	0	0	2099
2008	0.00035932446999640676	4	11132
2009	0.0002979737783075089	5	16780
2010	0.0003902185223725286	6	15376
2011	0.00047657952069716776	7	14688
2012	0.0006591167835100965	11	16689
2013	0.0004167317810074491	8	19197
