year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0.00034317089910775565	1	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0.00026062027625749283	1	3837
1957	0	0	3839
1958	0	0	3739
1959	0.0002621231979030144	1	3815
1960	0.0005298013245033113	2	3775
1961	0	0	4413
1962	0.0007199424046076314	3	4167
1963	0.0002181976871045167	1	4583
1964	0.0002002002002002002	1	4995
1965	0.0003727865796831314	2	5365
1966	0.000544464609800363	3	5510
1967	0.000354735721887194	2	5638
1968	0.00033433634236041456	2	5982
1969	0.00034518467380048324	2	5794
1970	0.00016815200941651252	1	5947
1971	0.0005990415335463259	3	5008
1972	0	0	6181
1973	0.00033783783783783786	2	5920
1974	0	0	5245
1975	0	0	4965
1976	0.000583544057576347	3	5141
1977	0	0	5399
1978	0.00036172906493036716	2	5529
1979	0	0	5279
1980	0	0	5420
1981	0.000562957402889848	3	5329
1982	0	0	5319
1983	0.0001892147587511826	1	5285
1984	0	0	5324
1985	0	0	5715
1986	0.0001928268414963363	1	5186
1987	0.0007313951362223441	4	5469
1988	0.00018158707100054475	1	5507
1989	0.00017433751743375174	1	5736
1990	0	0	5700
1991	0.00016975046681378373	1	5891
1992	0.00016728002676480428	1	5978
1993	0.0003356267830172848	2	5959
1994	0.0003317299718029524	2	6029
1995	0.0001556420233463035	1	6425
1996	0.00015135462388375965	1	6607
1997	0	0	5399
1998	0	0	3627
1999	0	0	7068
2000	0.00012159533073929961	1	8224
2001	0	0	6943
2002	0	0	5215
2003	0	0	7198
2004	0.000149655791679138	1	6682
2005	0	0	6160
2006	0.00028818443804034583	1	3470
2007	0	0	2099
2008	0.00017966223499820338	2	11132
2009	0	0	16780
2010	0.0001951092611862643	3	15376
2011	0.00006808278867102397	1	14688
2012	0.0001198394151836539	2	16689
2013	0.00020836589050372454	4	19197
